BaseId,NameId,Name,ModelCharaId,McType,McModel,McBase,McVariant,Scale
109,310,Moondrip stonehauler,12,2,1009,1,5,1
110,314,Moondrip piledriver,12,2,1009,1,5,1
111,312,Moondrip blastmaster,12,2,1009,1,5,1
112,101,Gyges the Great,12,2,1009,1,5,1.6
113,190,Ixali scout,4,2,1002,1,1,1.2
114,1783,Ixali frostwing,4,2,1002,1,1,1.2
115,1782,Ixali frostbeak,4,2,1002,1,1,1.2
116,1784,Ixali frostcaller,4,2,1002,1,1,1.2
117,1066,golden coeurl,65,3,17,1,1,1.5
118,1093,marching mandragora,297,3,88,1,1,1
119,445,stagnant water sprite,121,3,29,1,1,1
120,247,Amalj'aa javelinier,31,3,4,1,1,1.2
121,198,nutbreaker squirrel,44,3,8,1,1,1.2
122,525,befuddled beekeeper,104,3,27,1,1,1
123,260,Amalj'aa divinator,197,3,53,1,1,1
124,2274,errant revenant,229,3,63,1,1,1
125,456,inconspicuous imp,63,3,16,1,1,1.5
126,110,skeleton soldier,17,2,1015,1,1,1.5
127,111,Deepcroft miteling,20,3,1,1,1,1.5
128,431,attack hound,20,3,1,1,1,1.5
129,434,manor servitor,21,3,1,2,1,1.5
130,3342,Snakemolt bat,99,3,25,1,2,2
131,113,earth sprite,386,3,153,2,1,1
132,114,ice sprite,382,3,153,1,2,1
133,115,wind sprite,383,3,153,1,3,1
134,912,wildfire sprite,381,3,153,1,1,1
135,117,lightning sprite,384,3,153,1,4,1
136,1042,sun midge cloud,58,3,14,1,1,1
138,2756,rabid mongrel,160,3,41,1,2,1.5
139,1134,spotted eft,151,3,39,1,1,1.2
140,237,morbol,145,3,37,1,1,1
141,1846,Natalan watchwolf,163,3,41,3,1,1.5
142,605,young anole,97,3,24,1,2,0.8
143,1763,snowshoe mouse,27,3,2,2,3,2
149,123,toxic battrap,48,3,9,1,1,2.5
150,331,Corpse Brigade knuckledancer,48,3,9,1,1,1.5
151,125,pus gnat,53,3,11,1,1,2
156,288,cochineal cactuar,50,3,10,1,1,2
157,2329,snowman,50,3,10,1,1,2
159,381,forest yarzon,76,3,19,1,2,1.2
160,196,black eft,152,3,39,2,1,0.8
161,1758,snowpuppy,152,3,39,2,1,1.2
162,616,clay golem,25,3,2,2,1,2.5
163,191,dewdrinker ladybug,57,3,13,1,2,2.5
164,165,milkroot cluster,36,3,6,1,1,2.5
166,259,Amalj'aa seer,3,2,1001,1,1,1.2
167,253,Amalj'aa pugilist,3,2,1001,1,1,1.2
168,252,Amalj'aa sniper,3,2,1001,1,1,1.2
169,1725,Amalj'aa shaman,3,2,1001,1,1,1.2
170,1115,Qiqirn yolkdrainer,14,2,1012,1,1,1
171,1114,Mumuroon Yellowtooth,14,2,1012,1,1,1
172,1037,softskin peiste,136,3,34,2,1,1
173,1736,butcher basilisk,135,3,34,1,1,1
174,303,sandskin peiste,137,3,34,2,2,1
175,1045,uncommon cactuar,141,3,36,1,1,2
176,286,sabotender,142,3,36,1,2,2
177,1019,flowering sabotender,143,3,36,1,3,2
178,1869,clutch pelican,154,3,40,1,1,1.2
179,1316,giant oxpecker,155,3,40,1,2,1.2
180,1036,guillotine beak,156,3,40,1,3,1.2
181,1116,gaunt beak,157,3,40,1,4,1.2
182,467,fachan,167,3,43,1,1,1.5
183,1759,milky eye,168,3,43,1,2,1.5
184,2197,charmed falmadair,169,3,43,1,3,1.5
185,1362,dodo's nest,170,3,43,1,4,1.5
186,3059,camptotaur,171,3,43,1,5,1.5
187,1041,pyrite coblyn,176,3,45,1,1,1.5
188,2008,sphene doblyn,177,3,45,1,2,1.5
189,1671,asbestos coblyn,178,3,45,1,3,1.5
190,4285,wrothful drake,179,3,46,1,1,1.5
191,3699,starkshadow biast,180,3,46,1,2,1.5
192,1344,augmented battle drake,181,3,46,2,1,1.5
193,2049,mourning billy,183,3,47,1,1,1.2
194,2050,mourning nanny,184,3,47,1,2,1.2
195,670,,185,3,47,2,1,1.2
196,6733,royal ant,192,3,51,1,1,1.3
197,1022,antling gamergate,193,3,51,1,2,1.3
198,358,wounded aurochs,194,3,51,1,3,1.3
199,357,aurochs,195,3,51,1,4,1.3
200,269,magitek vanguard,213,3,56,1,1,2
201,3179,6th Cohort vanguard,214,3,56,1,2,2
202,463,slithertwine,215,3,56,1,3,2
203,1023,phurbleweed,266,3,81,1,1,2
204,271,golden fleece,267,3,81,1,2,2
205,1049,naked shrew,282,3,85,1,1,1.2
206,1317,ironquill tuco-tuco,283,3,85,2,1,1.2
207,1185,Ifrit,304,3,96,1,1,1
208,1186,infernal nail,298,3,90,1,1,1
209,1185,Ifrit,304,3,96,1,1,1
210,1186,infernal nail,298,3,90,1,1,1
211,1185,Ifrit,304,3,96,1,1,1
212,1186,infernal nail,298,3,90,1,1,1
213,346,shallowscale Reaver,8,2,1006,1,1,1
214,213,strangling ivy,8,2,1006,1,1,1
215,294,antling worker,8,2,1006,1,1,1
216,515,Coeurlclaw King,8,2,1006,1,1,1
217,300,cove buzzard,8,2,1006,1,1,1
218,319,rotting corpse,8,2,1006,1,1,1
219,1089,jackal pup,8,2,1006,1,1,1
220,358,wounded aurochs,8,2,1006,1,1,1
221,718,Whiskerwall Kupdi Koop,8,2,1006,1,1,3
222,719,Ruffletuft Kupta Kapa,8,2,1006,1,1,3
223,720,Furryfoot Kupli Kipp,8,2,1006,1,1,3
224,721,Woolywart Kupqu Kogi,8,2,1006,1,1,3
225,722,Pukla Puki the Pomburner,8,2,1006,1,1,3
226,723,Puksi Piko the Shaggysong,8,2,1006,1,1,3
227,724,Pukna Pako the Tailturner,8,2,1006,1,1,3
228,725,Good King Moggle Mog XII,8,2,1006,1,1,10
229,718,Whiskerwall Kupdi Koop,8,2,1006,1,1,3
230,719,Ruffletuft Kupta Kapa,8,2,1006,1,1,3
231,720,Furryfoot Kupli Kipp,8,2,1006,1,1,3
232,721,Woolywart Kupqu Kogi,8,2,1006,1,1,3
233,722,Pukla Puki the Pomburner,8,2,1006,1,1,3
234,723,Puksi Piko the Shaggysong,8,2,1006,1,1,3
235,724,Pukna Pako the Tailturner,8,2,1006,1,1,3
236,2752,Good King Moggle Mog XII,8,2,1006,1,1,10
237,1649,monolith,301,3,92,1,1,1
238,1647,razor plume,302,3,93,1,1,1
239,1644,Garuda,303,3,95,1,1,1
240,1649,monolith,301,3,92,1,1,1
241,1647,razor plume,302,3,93,1,1,1
242,1644,Garuda,303,3,95,1,1,1
243,1649,monolith,301,3,92,1,1,1
244,1647,razor plume,302,3,93,1,1,1
245,1644,Garuda,303,3,95,1,1,1
246,1801,Titan,306,3,98,1,1,1.5
247,1801,Titan,306,3,98,1,1,1.5
248,1801,Titan,306,3,98,1,1,1.5
251,1428,Gavial,159,3,41,1,1,1.5
253,3126,flame thaumaturge,479,3,9998,1,1,1
254,496,leafbleed banemite,481,0,0,0,1,1
255,422,Lady Amandine,18,2,1016,1,1,1.8
256,424,lady's handmaiden,18,2,1016,1,1,1
257,425,lady's candle,100,3,26,1,1,2
258,428,manor sentry,167,3,43,1,1,1.5
259,444,Graffias,23,3,1,3,2,2.5
260,443,comesmite,22,3,1,3,1,1.5
261,437,fleshy pod,485,4,1745,0,1,1
262,375,kobold bedesman,247,3,70,1,4,1
263,241,wolf poacher,135,3,34,1,1,1
264,514,Sirocco,142,3,36,1,2,2
265,590,northern vulture,235,3,65,2,1,1
266,440,Graffias's tail,482,5,0,0,1,12
267,988,stone servant,12,2,1009,1,5,1
268,736,fire homunculus,99,3,25,1,2,2
269,1208,giant clam,481,0,0,0,1,1
270,442,Coeurl o' Nine Tails,34,3,5,1,1,1
271,441,warden's whip,35,3,5,1,2,0.5
272,423,manor claviger,18,2,1016,1,1,1.4
273,426,manor jester,64,3,16,1,2,2.8
274,427,manor steward,17,2,1015,1,1,2
275,428,manor sentry,167,3,43,1,1,1.5
276,633,manor maidservant,18,2,1016,1,1,1
277,512,Alux,3,2,1001,1,1,1.2
278,1760,stegotaur,3,2,1001,1,1,1.2
279,768,Galfrid the Gallant,3,2,1001,1,1,1.2
280,769,,3,2,1001,1,1,1.2
281,443,comesmite,179,3,46,1,1,1.5
282,1987,sabotender del sol,4,2,1002,1,1,1.2
283,621,Gods' Quiver bow,4,2,1002,1,1,1.2
284,1442,Porus,4,2,1002,1,1,1.2
285,344,shallowclaw Reaver,4,2,1002,1,1,1.2
286,279,sun bat,159,3,41,1,1,1.5
287,279,sun bat,198,3,54,1,1,1.5
288,279,sun bat,5,2,1003,1,1,1.5
289,279,sun bat,5,2,1003,1,1,1.5
290,258,Amalj'aa thaumaturge,5,2,1003,1,1,1.5
291,2265,siren,5,2,1003,1,1,1.5
292,1268,acid bubble,81,3,21,1,1,2
293,4146,unarmed Vanu Vanu,81,3,21,1,1,2
294,134,tainted earth sprite,386,3,153,2,1,1
295,553,honeybee swarm,60,3,14,1,3,1
296,455,void soulcounter,383,3,153,1,3,1
297,136,tainted water sprite,385,3,153,1,5,1
298,142,young antelope stag,62,3,15,2,1,1.5
299,135,tainted wind sprite,383,3,153,1,3,1
300,2005,ceruleum coblyn,204,3,55,1,4,2
301,596,Akoman,167,3,43,1,1,2
302,1135,sharptooth orobon,270,3,82,2,1,2
303,1735,hungry dreadwolf,159,3,41,1,1,1.5
304,505,leafbleed morbol,145,3,37,1,1,1
305,1785,wandering soul,265,3,80,1,2,2
306,1027,evenfall firefly,78,3,20,1,1,1
307,332,Corpse Brigade firedancer,4,2,1002,1,1,1.5
308,104,Ixali swiftbeak,4,2,1002,1,1,1.5
312,1069,Bloodshore eyesore,280,3,84,2,1,1.5
313,1100,riverbank toad,126,3,30,1,1,1
314,1068,apkallu caller,190,3,50,1,1,1
320,1748,meltwater goobbue,198,3,54,1,1,1.5
321,4114,jungle goobbue,198,3,54,1,1,2
322,1076,unsightly buffalo,138,3,35,1,1,1
323,1077,rabid aurochs,138,3,35,1,1,0.5
324,1103,saltwater aurelia,279,3,84,1,1,1.5
325,1081,big claw,149,3,38,1,2,1.6
326,825,molting megalocrab,148,3,38,1,1,1.6
327,1073,void mine,101,3,26,1,2,2
328,1158,426th Order patrolman,5,2,1003,1,1,1.5
329,1157,426th Order pitman,5,2,1003,1,1,1.5
330,1156,426th Order bedesman,5,2,1003,1,1,1.5
331,1155,426th Order missionary,5,2,1003,1,1,1.5
332,502,greedy hog,5,2,1003,1,1,2
333,2165,Sahagin sapper,9,2,1007,1,1,1
334,1163,Sahagin spy,9,2,1007,1,1,1
335,1162,Sahagin sapper,9,2,1007,1,1,1
336,2166,Sahagin skirmisher,9,2,1007,1,1,1
337,373,kobold missionary,9,2,1007,1,1,1.5
338,1098,wild ram,287,3,86,1,4,1.5
339,1096,stray dodo,173,3,44,1,1,1.5
340,1087,feral dodo,174,3,44,1,2,1.5
341,1097,scalepuk,130,3,32,1,1,2
342,1035,soulless chrisom,264,3,80,1,1,2
343,414,Mamool Ja breeder,10,2,1008,1,1,1
344,413,Mamool Ja executioner,10,2,1008,1,1,1
345,676,Mamool Ja mercenary,10,2,1008,1,1,1
346,415,Mamool Ja sophist,10,2,1008,1,1,1
347,1236,dirty rat,24,3,2,1,1,2
351,1050,nutmuncher marmot,26,3,2,2,2,2
356,234,smallmouth orobon,268,3,82,1,1,2
357,290,sandworm,238,3,68,1,1,1
358,243,iron tortoise,95,3,23,1,2,1
359,408,galago,3,2,1001,1,1,1.5
360,599,Silvairre the Virtuous,3,2,1001,1,1,1.5
361,445,stagnant water sprite,3,2,1001,1,1,1.5
362,1115,Qiqirn yolkdrainer,14,2,1012,1,1,1.5
371,348,shalloweye Reaver,242,3,68,1,6,1
376,1989,hooded assaulter,12,2,1009,1,5,1.3
377,1769,denizen of the dark,228,3,62,1,1,1
378,1790,gigas mastiff,253,3,76,1,1,1
379,360,sea wasp,481,0,0,0,1,1
382,1032,loamshell,355,3,133,1,1,1
383,2021,lepidote,356,3,134,1,1,1
384,684,cork bulb,358,3,135,1,1,1
385,953,flower wespe,359,3,137,1,1,1
386,1063,talking colibri,360,3,138,1,1,1
387,685,Dravanian outwatch,362,3,140,1,1,1
388,1141,vodoriga cur,363,3,141,1,1,1
389,635,scaphite,364,3,142,1,1,1
390,1182,taurus,365,3,143,1,1,1
391,491,wandering wisp,366,3,144,1,1,1
392,3577,miacid,367,3,145,1,1,1
393,2406,territorial snipper,371,3,146,1,1,1
394,1850,baritine croc,372,3,147,1,1,1
395,1755,snapjaw,373,3,147,1,2,1
396,1852,preying mantis,376,3,148,2,1,1
397,2755,murderous mantis,374,3,148,1,1,1
398,3336,Horde scout,377,3,150,1,1,1
399,3533,owlbear,378,3,151,1,1,1
400,425,lady's candle,19,2,1017,1,1,1
401,1185,Ifrit,480,0,0,0,1,1
402,500,trancetoad,292,3,87,1,1,1
403,1789,blood bateleur,41,3,7,1,3,1.5
404,1753,frozen bavarois,202,3,55,1,2,1.5
405,1021,moldy pudding,203,3,55,1,3,1.5
406,480,figgy pudding,204,3,55,1,4,1.5
407,461,banemite,205,3,55,1,5,1.5
408,1408,,206,3,55,1,6,1.5
409,662,Ixali boundwing,4,2,1002,1,1,1.5
410,2137,the Ultima Weapon,480,0,0,0,1,1
411,1204,Chopper,65,3,17,1,1,1.5
414,1205,scurvy dog,164,3,41,4,1,1.2
415,1205,scurvy dog,164,3,41,4,1,0.6
417,1206,Denn the Orcatoothed,9,2,1007,1,1,2
418,1207,baleen guard,9,2,1007,1,1,1.5
419,515,Coeurlclaw King,480,0,0,0,1,1
420,1298,goblin pathfinder,6,2,1004,1,1,1
421,1299,goblin pathfinder,6,2,1004,1,1,1
422,1300,Brayflox Alltalks,6,2,1004,1,1,1
423,1280,great yellow pelican,155,3,40,1,2,1.6
424,1281,blue back,154,3,40,1,1,0.6
425,1282,violet back,156,3,40,1,3,0.6
426,1283,sable back,157,3,40,1,4,0.6
427,1286,hellbender,151,3,39,1,1,1.6
428,1279,Aiatar,230,3,63,1,2,1.4
429,1279,Aiatar,230,3,63,1,2,1.4
430,500,trancetoad,480,0,0,0,1,1
431,1038,tomahawk beak,156,3,40,1,3,0.8
432,294,antling worker,192,3,51,1,1,0.7
433,1262,boulder,481,0,0,0,1,1
434,1680,Isgebind,480,0,0,0,1,1
471,1260,tamed spriggan,81,3,21,1,1,2.5
472,108,,453,3,8028,1,1,1
473,624,,121,3,29,1,1,1
474,425,lady's candle,162,3,41,2,1,1
475,491,wandering wisp,79,3,20,1,2,1
476,203,leathervine microchu,35,3,5,1,2,1
479,230,sylvan sough,7,2,1005,1,1,1
481,51,alpha anole,97,3,24,1,2,2.4
482,512,Alux,63,3,16,1,1,4
483,446,Asipatra,233,3,64,1,1,3
486,445,stagnant water sprite,385,3,153,1,5,3
487,447,Matagaigai,48,3,9,1,1,5
488,448,Lou Carcolh,50,3,10,1,1,12
489,513,Prince of Pestilence,53,3,11,1,1,3.6
490,449,Jackanapes,32,3,4,1,2,2.25
491,514,Sirocco,61,3,15,1,1,2.25
496,516,Dschubba,20,3,1,1,1,3
497,452,Curupira,34,3,5,1,1,2.25
498,498,Zezeroon Stickyfingers,14,2,1012,1,1,1
499,507,orphaned sylph,7,2,1005,1,1,1
500,479,Guttrix Sliverpicks,6,2,1004,1,1,1
501,471,angry sow,44,3,8,1,1,1.5
502,472,rotting sentinel,104,3,27,1,1,1.2
503,473,mischief-maker imp,63,3,16,1,1,2
504,474,seven-year gnat,53,3,11,1,1,2.4
505,475,alpha stag,62,3,15,2,1,1.5
506,476,wanted goblin,6,2,1004,1,1,1.5
507,477,lush morbol,145,3,37,1,1,1.2
508,478,Kupni Kapp,8,2,1006,1,1,1
513,1029,mischief-maker imp,64,3,16,1,2,1.5
514,509,thickfur doe,61,3,15,1,1,1.2
515,72,Bockman,121,3,29,1,1,2
516,20,magicked bones,17,2,1015,1,1,1.5
518,14,wild hoglet,46,3,8,1,3,0.9
520,776,軍曹,277,3,83,2,2,2
521,426,manor jester,61,3,15,1,1,1.3
523,587,buzzing djigga,53,3,11,1,1,2
525,582,Keroucene's lackey,62,3,15,2,1,1.3
526,586,3rd Cohort bestiarius,22,3,1,3,1,1.5
527,3712,ragged ratel,126,3,30,1,1,1.2
528,1036,guillotine beak,96,3,24,1,1,1
529,565,trenchtooth Sahagin,35,3,5,1,2,1
530,464,goblin outlaw,6,2,1004,1,1,1
531,464,goblin outlaw,6,2,1004,1,1,1
532,1988,imperial frumentarius,6,2,1004,1,1,1
533,465,Stikflix Grumblytoss,6,2,1004,1,1,1.5
534,466,domesticated banemite,22,3,1,3,1,1.5
535,467,fachan,167,3,43,1,1,1.5
536,468,pack ziz,154,3,40,1,1,0.8
537,610,grizzled lancer,297,3,88,1,1,1
538,470,Briaxio of the Well,7,2,1005,1,1,1.5
543,608,alpha wolf,163,3,41,3,1,2
548,939,frenzied elm,105,3,27,1,2,1
549,30,clay golem,84,3,21,1,4,2
554,193,Ixali lostwing,4,2,1002,1,1,1.2
555,194,Ixali slowbeak,4,2,1002,1,1,1.2
556,192,Ixali dulltalon,4,2,1002,1,1,1.2
557,947,Ixali sincaller,4,2,1002,1,1,1.2
562,108,,453,3,8028,1,1,4
563,586,3rd Cohort bestiarius,7,2,1005,1,1,1
566,613,red balloon,100,3,26,1,1,4
567,455,void soulcounter,19,2,1017,1,1,1
570,655,behemoth,480,0,0,0,1,1
571,541,striking dummy,2449,0,0,0,1,1
572,437,fleshy pod,486,4,1786,0,1,0.7
573,1536,morbol fruit,487,4,1696,0,1,1.2
579,1329,Jaded Jody,81,3,21,1,1,5
587,511,barricade,480,0,0,0,1,1
588,466,domesticated banemite,81,3,21,1,1,4
589,668,Aldis,94,3,23,1,1,2
590,3792,bitter nectar,121,3,29,1,1,4.5
591,87,Hollow Baron waister,104,3,27,1,1,2
592,553,honeybee swarm,60,3,14,1,3,1
593,543,enchanted funguar,29,3,3,1,2,2
596,1385,bomb,480,0,0,0,1,1
599,439,sticky web,480,0,0,0,1,1
601,448,Lou Carcolh,50,3,10,1,1,4.8
602,448,Lou Carcolh,50,3,10,1,1,2
603,905,crate of oranges,488,4,2220,0,1,1
604,522,Mun-Tuy sack,489,4,2218,0,1,1
606,542,charging hog,44,3,8,1,1,1.8
607,536,sylph pillow,50,3,10,1,1,2
608,1566,treasure hunter,4,2,1002,1,1,1.2
609,1565,soldier of Nym,4,2,1002,1,1,1.2
610,1390,flaming beacon,6,2,1004,1,1,1
611,523,hive gate,476,3,9994,1,1,1
612,535,Jackanapes's bean-bearer,32,3,4,1,2,1.5
613,528,North Shroud opo-opo,31,3,4,1,1,1.2
614,1728,Phanaxio of the New Leaf,7,2,1005,1,1,1
616,4,antelope stag,62,3,15,2,1,1.3
617,523,hive gate,476,3,9994,1,1,1
618,1398,Eos,97,3,24,1,2,1
619,3804,Abalathian fox,155,3,40,1,2,1.2
620,10,diremite,21,3,1,2,1,1.5
621,5,opo-opo,31,3,4,1,1,1.2
622,881,longhorn nannygoat,97,3,24,1,2,1
642,877,Undertaker,483,5,0,0,1,1
643,1694,demon wall,256,3,77,1,1,4
644,1790,gigas mastiff,133,3,33,1,1,1.5
645,1746,alpine hippocerf,134,3,33,1,2,1.5
646,1111,Headrip ogre,187,3,49,1,1,1.2
647,6725,slave to the beast,188,3,49,2,1,1.2
648,516,Dschubba,189,3,49,2,2,1.2
649,795,ornery karakul,196,3,52,1,1,1
650,1625,hollow gargoyle,216,3,57,1,1,2
651,1444,Gwyllgi,217,3,57,1,2,2
652,582,Keroucene's lackey,218,3,57,1,3,2
653,568,Maisenta Hawke,219,3,58,1,1,1
654,1910,raw sludge,220,3,58,1,2,1
655,1445,Steropes,221,3,59,1,1,1
668,709,void slave,187,3,49,1,1,1.2
671,781,void jumper,54,3,11,1,2,2
676,765,soulsucker imp,63,3,16,1,1,2.8
677,766,seemingly ordinary imp,63,3,16,1,1,1.5
679,782,void herald,99,3,25,1,2,2
680,783,void dross,51,3,10,1,2,2
681,631,spriggan copper copper,216,3,57,1,1,1
682,841,Mormo,18,2,1016,1,1,1
688,1647,razor plume,551,3,93,1,2,1
689,601,Coeurlclaw falconer,552,3,93,1,3,1
690,262,star marmot,26,3,2,2,2,2
700,829,Alacran bloodhound,159,3,41,1,1,1
701,830,Alacran war hound,159,3,41,1,1,1.5
702,831,bastet,69,3,17,2,1,1.5
714,825,molting megalocrab,148,3,38,1,1,1
716,262,star marmot,26,3,2,2,2,2
717,937,frenzied bulb,358,3,135,1,1,1
719,1750,mad karakul ram,291,3,86,1,8,1.5
720,1747,frostbitten goobbue,199,3,54,1,2,1.5
721,1630,giant ripper,11,2,1009,1,1,1
722,1631,giant drubber,11,2,1009,1,1,1
723,787,giant reader,11,2,1009,1,1,1
727,646,gigas bonze,13,2,1009,7,1,1
728,647,gigas shramana,13,2,1009,7,1,1
729,1771,beggar sozu,13,2,1009,7,1,1
730,1772,beggar bhikkhu,13,2,1009,7,1,1
731,3473,silver wolf,161,3,41,1,3,1.5
732,4054,vengeful wyvern,224,3,60,1,1,1
733,655,behemoth,165,3,42,1,1,2
734,780,chocobo,166,3,42,2,1,1
735,247,Amalj'aa javelinier,3,2,1001,1,1,1.2
736,254,Amalj'aa striker,3,2,1001,1,1,1.2
737,250,Amalj'aa hunter,3,2,1001,1,1,1.2
738,1856,lost Lalafell,3,2,1001,1,1,1.2
739,2301,Zanr'ak gaolkeeper,3,2,1001,1,1,1.2
740,2369,Flamefang elite,3,2,1001,1,1,1.2
741,1838,Zahar'ak archer,3,2,1001,1,1,1.2
742,1840,Zahar'ak thaumaturge,3,2,1001,1,1,1.2
743,192,Ixali dulltalon,4,2,1002,1,1,1.2
744,193,Ixali lostwing,4,2,1002,1,1,1.2
745,194,Ixali slowbeak,4,2,1002,1,1,1.2
746,3488,sleet trap,4,2,1002,1,1,1.2
747,1842,Natalan windtalon,4,2,1002,1,1,1.2
748,1843,Natalan boldwing,4,2,1002,1,1,1.2
749,662,Ixali boundwing,4,2,1002,1,1,1.2
750,1845,Natalan fogcaller,4,2,1002,1,1,1.2
751,378,kobold potman,5,2,1003,1,1,1.5
752,368,kobold dustman,5,2,1003,1,1,1.5
753,679,ラベル削除予定,5,2,1003,1,1,1.5
754,372,kobold supplicant,5,2,1003,1,1,1.5
755,2702,13th Order watchman,5,2,1003,1,1,1.5
756,2694,271st Order watchman,5,2,1003,1,1,1.5
757,2704,13th Order scholar,5,2,1003,1,1,1.5
758,2703,13th Order alchemist,5,2,1003,1,1,1.5
759,1888,tonberry hexer,7,2,1005,1,1,1
760,1563,bronze buzzard,7,2,1005,1,1,1
761,1884,broken thaumaturge,7,2,1005,1,1,1
762,2321,sylpheed cackle,7,2,1005,1,1,1
763,2320,sylpheed wail,7,2,1005,1,1,1
764,2313,sylpheed chuckle,7,2,1005,1,1,1
765,2543,Lost Duchess deckhand,9,2,1007,1,1,1
766,2540,surfclaw Sahagin,9,2,1007,1,1,1
767,2537,surfspine Sahagin,9,2,1007,1,1,1
768,2541,surftooth Sahagin,9,2,1007,1,1,1
769,1360,goblin trader,6,2,1004,1,1,1
770,1832,U'Ghamaro roundsman,6,2,1004,1,1,1
771,350,Qiqirn eggdigger,14,2,1012,1,1,1
772,832,,14,2,1012,1,1,1
777,4094,Silvertear cobra,235,3,65,2,1,1
782,1329,Jaded Jody,145,3,37,1,1,1.75
803,1243,Gilpincher Zuzuroon,14,2,1012,1,1,2
804,1242,Nayokk Roh,3,2,1001,1,1,1.5
818,1372,382nd Order Pickman Ge Bu,5,2,1003,1,1,2
819,1234,Slasher,69,3,17,2,1,2.5
820,338,tempered champion,65,3,17,1,1,1.5
821,1263,pecking condor,39,3,7,1,1,1.5
822,3564,wild chocobo,374,3,148,1,1,1
823,405,tiny mandragora,297,3,88,1,1,1
824,1261,ledgeleaper,126,3,30,1,1,1.5
825,1260,tamed spriggan,107,3,28,1,1,2
826,1259,rasher hog,44,3,8,1,1,1.2
827,6,lemur,32,3,4,1,2,1.2
