name,locations
"59th Order Pickman Be Ze","Iron Lake"
"59th Order Roundsman Ge Ga","U'Ghamaro Mines"
"5th Order Patriarch Ze Bu","U'Ghamaro Mines"
"6th Cohort colossus","The Keeper of the Lake (Zone)"
"6th Cohort vanguard","Castrum Centri;The Keeper of the Lake (Zone)"
"6th Legion colossus","Evaluation and Authentication"
"6th Legion execution claw","Incubation Bay VIII"
"6th Legion gunship","The Blue Window"
"6th Legion hoplomachus","Castrum Solus;Bioweapon Research;Incubation Bay VIII"
"6th Legion magitek vanguard","Incubation Bay VII"
"6th Legion magitek vanguard H-1","Automachina Research"
"7th Cohort colossus","Northern Thanalan"
"7th Cohort death claw","Northern Thanalan"
"7th Cohort vanguard","Northern Thanalan;Raubahn's Push"
"8th Order alchemist","Sapper Tunnel"
"8th Order bedesman","Sapper Tunnel"
"8th Order furnaceman","Second Spire"
"8th Order Patriarch Be Gu","Second Spire"
"8th Order pickman","First Level;Sapper Tunnel"
"8th Order roundsman","Second Level;First Level;Sapper Tunnel"
"abaddon","The High Bank"
"abaia","Syrcus Tower"
"Abalathian hornbill","The First Mountain;The Vortex"
"Abalathian minotaur","Abalathia's Skull"
"Abalathian slug","The Wishbone"
"Abalathian wamoura","The Blue Window"
"abandoned bit","The Peaks"
"abandoned slasher","The Peaks"
"abandoned vanguard","Raubahn's Push"
"Abelisk","Landlord Colony"
"Abharamu","The Lost Canals of Uznair (Zone)"
"abyss worm","Copperbell Mines (Hard) (Zone)"
"Acane","Southwestern Ice Needles"
"accursed cane","Floor 60 (Heaven-on-High)"
"accursed idol","Condemnation"
"acerbic jam","Halatali (Hard) (Zone)"
"Achamoth","Tower of White (Hard)"
"Acheron","Syrcus Tower"
"acid bubble","Upper La Noscea"
"acidic honey","Scar's Edge"
"acorn bear","Chocobo Forest"
"acro bat","The Night of Yx'Lokwa"
"acrocat","Yesterland"
"actuator","Energy Conduit"
"actuator 0","Core Production;Energy Conduit"
"Acubens","Bloodshore"
"adamantite claw","Gamma Quadrant;Armory (Outer Reaches)"
"adamantoise","Rootslake"
"adjudicator","The Cameral Chamber"
"Adjunct Ostyrgrein","Rhotano Sea"
"ADS","Meteor Fissure;Sector VI"
"adulator","The West Val River Bank"
"advanced aevis","Heathcliff"
"advanced smart bomb","U'Ghamaro Mines"
"advent mochi","Zephyr Drift"
"Aeetes","The Burning Wall"
"Aegeiros","Garlemald"
"Aery biast","Aery Exterior"
"Aery diresaur","Aery Apex"
"Aery drake","Aery Interior"
"Aery vouivre","Errn Scorh"
"Aery wyvern","Aery Exterior"
"aetherbound aurelia","Bloodshore"
"aetherbound gnat","Snakemolt"
"aetherial orb","Sastasha (Zone)"
"aetherial tear","The Chrysalis (Zone)"
"aetherial ward","The Hall of Hieromancy"
"aetheric gelatin","The Central Circuit"
"aetheric shadow","Ala Gannha"
"aether-starved shuck","The Percipient One"
"Aetolus","West Flamerock"
"aeturna","Eureka Orthos"
"Agathos","The Churning Mists"
"agavoides","Windspath Gardens"
"aggressive archaeornis","Riversmeet"
"aggressive gyuki","Rasen Kaikyo"
"aggressive shark","Rasen Kaikyo"
"Aglaope","Il Mheg"
"aglaophotis","The Western Plateau"
"Agrippa the Mighty","Mor Dhona"
"Ah Puch","Floor 140 (Palace of the Dead)"
"Ahleh","Nidhogg An"
"Aiatar","Brayflox's Longstop"
"Ailbert the Lost","Peacegarden"
"aion teleos","Containment Bay P1T6 (Zone)"
"Air Force","Lower Tower of Ruin"
"ajattara","Banepool"
"aka-no-shiki","The Wreath of Snakes (Zone)"
"akantha","Misopses Euros"
"Akhekhu","The Sea of Clouds"
"Akoman","Silent Arbor"
"Akyaali crab","Saltwind's Welcome"
"Alacran bloodhound","Little Ala Mhigo"
"alarum","Hangar 8;Electrocution Gallery"
"albatros","The Whipjacks"
"Albion","The Silvan Throne"
"Albus bear","Via Nivalis XLVII"
"Albus canis lupinus","Via Nivalis XLVII"
"Albus craklaw","Fons Manalis"
"Albus griffin","Magitek Snowcraft"
"Albus serpent","Fons Manalis"
"alchemy engine","Second Spire"
"Alectryon","Western Thanalan"
"alert archaeosaur","Eil Tohm"
"alert sankchinni","Eil Tohm"
"Alexander Prime","Soul of the Creator"
"Alexandrian axe beak","East Yyasulani"
"Alexandrian clipper","Asyle Volcane"
"Alexandrian collider","Illuminus - Ward 11"
"Alexandrian glider","The Midas Unit"
"Alexandrian hider","Illuminus - Ward 11"
"Alexandrian slider","Slickred Drainage Ducts"
"Alexandrian strider","Illuminus - Ward 4"
"Alfard","Floor 130 (Palace of the Dead)"
"Alicanto","Floor 110 (Palace of the Dead)"
"Allagan balloon","Walk of Fire"
"Allagan bomb","Walk of Fire"
"Allagan chimera","Beta Quadrant"
"Allagan cobra","Incubator Transport"
"Allagan mirrorknight","North Silvertear"
"Allagan naga","Bioweapon Sector VII"
"Allagan napalm","Walk of Fire"
"allotaur","The Lost City of Amdapor (Zone)"
"All-seeing Eye","The Gullet"
"almasty","Cerulea Ingens;Regio Urbanissima"
"alpaca","Chabameki;Chabayuqeq"
"alpgrot orobon","Dzemael Darkhold"
"alpha adamantoise","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"alpha anole","Naked Rock"
"alpha anzu","The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"alpha apkallu","Middle La Noscea"
"alpha archaeosaur","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"alpha bandersnatch","The Churning Mists"
"alpha basilisk","Sandgate;Sorrel Haven;Cedarwood"
"alpha biast","Fogfens;North Silvertear"
"alpha buffalo","Bloodshore;Naked Rock"
"alpha chimera","Black Brush;The Long Climb;Boulder Downs"
"alpha cobra","Providence Point;Whitebrim"
"alpha coeurl","Drybone"
"alpha deathgaze","The Long Climb;Alder Springs;Dragonhead"
"alpha dryad","Proud Creek"
"alpha endymion","The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"alpha gargoyle","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"alpha gazelle","Virdjala"
"alpha ghostwolf","Riversmeet"
"alpha golem","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"alpha goobbue","Providence Point;Whitebrim"
"alpha groundskeeper","Ohl Tahn;Eil Tohm;The Dravanian Hinterlands"
"alpha hapalit","Whitebrim;Castrum Centri"
"alpha hropken","The Churning Mists;The Dravanian Hinterlands;The Sea of Clouds"
"alpha ice commander","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"alpha manticore","Western La Noscea;Broken Water;Bluefog"
"alpha mantis","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"alpha microchu","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"alpha morbol","Bentbranch;Fogfens"
"alpha nix","Spineless Basin;Boulder Downs"
"alpha sandworm","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"alpha slime","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"alpha snurble","The Burning Wall;Castrum Centri"
"alpha spriggolem","Black Brush"
"alpha stag","Upper Paths"
"alpha tarantula hawk","The Dravanian Forelands;The Churning Mists;The Dravanian Hinterlands"
"alpha tortoise","Raincatcher Gully;Castrum Centri"
"alpha tursus","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"alpha vinegaroon","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"alpha vodoriga","Nine Ivies;Raincatcher Gully"
"alpha wamoura","Middle La Noscea;Bloodshore;Sagolii Desert;North Silvertear"
"alpha wolf","Lifemend Stump"
"alpha ziz","The Footfalls"
"alpha zu","Sagolii Desert;The Honey Yard;Cedarwood"
"alpine hippocerf","Whitebrim"
"alseis","Philomythes Notos"
"altar arachne","The Shifting Altars of Uznair (Zone)"
"altar beast","The Shifting Altars of Uznair (Zone)"
"altar dullahan","The Shifting Altars of Uznair (Zone)"
"altar katasharin","The Shifting Altars of Uznair (Zone)"
"altar keeper","The Shifting Altars of Uznair (Zone)"
"altar Kelpie","The Shifting Altars of Uznair (Zone)"
"altar Matanga","The Shifting Altars of Uznair (Zone)"
"altar vodoriga","The Shifting Altars of Uznair (Zone)"
"Alte Roite","Dimension Castle"
"Alteci","Coerthas Western Highlands"
"altered Bahamut","Principia (Area)"
"altered Wailer","Haukke Manor (Hard) (Zone)"
"Alux","Spirithold"
"Alzadaal's acrolith","The Thrice-won Hoard"
"Alzadaal's asvattha","The Bhaflau Remnants"
"Alzadaal's guardian","The Zhayolm Remnants;The Thrice-won Hoard"
"Alzadaal's langur","The Bhaflau Remnants"
"Alzadaal's mimic","The Thrice-won Hoard"
"Alzadaal's qutrub","The Bhaflau Remnants"
"Alzadaal's rampart","The Arrapago Remnants"
"Alzadaal's vajralangula","The Bhaflau Remnants"
"Amalj'aa bruiser","The Red Labyrinth;Drybone;Broken Water;Wellwick Wood"
"Amalj'aa divinator","Sagolii Desert;Circle of the Tempered"
"Amalj'aa flame-eater","Zahar'ak"
"Amalj'aa halberdier","Sagolii Desert;Circle of the Tempered"
"Amalj'aa hunter","Amalj'aa Encampment"
"Amalj'aa impaler","Black Brush"
"Amalj'aa inculcator","Drybone"
"Amalj'aa javelinier","Amalj'aa Encampment"
"Amalj'aa lancer","Drybone;The Golden Bazaar;Sagolii Desert;Wellwick Wood;Zanr'ak"
"Amalj'aa liberator","Drybone"
"Amalj'aa porter","Zanr'ak"
"Amalj'aa pugilist","Drybone;The Golden Bazaar;Sagolii Desert;Zanr'ak"
"Amalj'aa ranger","Drybone;Wellwick Wood;Broken Water"
"Amalj'aa ravager","Drybone"
"Amalj'aa seer","The Red Labyrinth;Drybone;Broken Water"
"Amalj'aa shaman","Zanr'ak"
"Amalj'aa sniper","Sagolii Desert"
"Amalj'aa striker","Black Brush"
"Amalj'aa thaumaturge","Sagolii Desert;Zanr'ak;Zanr'ak Encampment"
"amanuensis","The Gullet"
"Amarok","Newvoid"
"Amber Carbuncle","Limsa Lominsa Upper Decks"
"Amber iguana","The Northern Hills of Amber"
"ambujam","Undersea Entrance"
"ambushing scissorjaws","The Fields of Amber"
"Amemet","Klauser's Peace"
"amhuluk","Paglth'an (Zone)"
"Amikiri","Harutsuge Gate"
"Amon","Syrcus Tower"
"Amon the Undying","The Aitiascope (Zone)"
"amphiptere in waiting","Four Arms;Landlord Colony"
"amphiptere straggler","Landlord Colony"
"amphisbaena","The Norvrandt Slope"
"anaconda","The Night of Yx'Lokwa;Tears of the Gods"
"anancus","The Southern Plateau"
"Anantaboga","The Presence Chamber (Amdapor Keep)"
"Anchag","Amdapor Keep (Hard)"
"ancient lizard","The Fields of Amber"
"ancient oak","Everschade"
"ancient uragnite","Copperbell Mines (Hard) (Zone)"
"ancient voidragon","East Flamerock"
"ancient ymir","The Teeth"
"Andreia","The Citia Swamps"
"Andromalius","The Eblan Rime"
"Anemos anala","Uncanny Valley (Area)"
"Anemos apa","Uncanny Valley (Area)"
"Anemos chaser","The Orchard"
"Anemos elemental","Eureka Anemos"
"Anemos flan","The Orchard"
"Anemos gremlin","The Val River Swale"
"Anemos harpeia","The Orchard"
"Anemos pegasus","Uncanny Valley (Area)"
"Anemos sanuwa","The Val River Swale"
"Anemossling","Heartbreak Holt"
"Angada","Yanxia"
"angler","Sagolii Desert;The Red Labyrinth"
"ango","Sogyoku Piscary"
"angry armadillo","Samiel's Backbone"
"angry longjaw","Shades of Grief"
"angry Naryordor","Solace"
"angry sow","Lifemend Stump"
"Anguish","Whitebrim Front"
"anguished atrociraptor","Fort Gohn"
"animated doll","Lost Citadel"
"Annia quo Soranus","Provisional Imperial Landing"
"annihilation flare","Sastasha (Zone)"
"anole stalker","Jadeite Thick"
"antelope stag","Upper Paths;Silent Arbor"
"antibody","Praetentura"
"antling gamergate","Broken Water"
"antling soldier","The Clutch"
"antling worker","Black Brush"
"antlion ambusher","Virdjala"
"anzu hen","The Nidifice"
"ao-no-shiki","The Wreath of Snakes (Zone)"
"Apademak","Blue Sky"
"apkallu","Bloodshore"
"apkallu caller","Bloodshore"
"Apotamkin","Voor Sian Siran"
"Apsaras","The Glittering Basin"
"Aqrabuamelu","The Peaks"
"Arachne Eve","The Queen's Room"
"Arboretum bifericeras","Environmental Control;Purification Tank C"
"Arboretum crawler","Saint Mocianne's Arboretum"
"Arboretum leech","The Study (Hard)"
"Arboretum slug","Environmental Control;Purification Tank C"
"Arbuda","The Temple of the Fist (Zone)"
"arcane sphere","Porta Decumana;Neurolink Nacelle"
"arcapetrified netzach","Abandoned Ascent"
"arch demon","The Makers' Quarter"
"Archaeoaevis","Providence Point"
"archaeornis","Twinpools"
"archaeosaur","Eil Tohm;Landlord Colony"
"Archaeotania","The Swallowed Spire"
"arena bat","Blue Sky"
"arena bavarois","Blue Sky"
"arena beetle","Blue Sky"
"arena bomb","Blue Sky"
"arena catoblepas","Blue Sky"
"arena cherry bomb","Blue Sky"
"arena cyclops","Blue Sky"
"arena dullahan","Blue Sky"
"arena eye","Blue Sky"
"arena flan","Blue Sky"
"arena gas bomb","Blue Sky"
"arena gelato","Blue Sky"
"arena grenade","Blue Sky"
"arena haagenti","Blue Sky"
"arena imp","Blue Sky"
"arena jam","Blue Sky"
"arena licorice","Blue Sky"
"arena magus","Blue Sky"
"arena mandragora","Blue Sky"
"arena manticore","Blue Sky"
"arena marshmallow","Blue Sky"
"arena mirrorknight","Blue Sky"
"arena Progenitrix","Blue Sky"
"arena pudding","Blue Sky"
"arena roselet","Blue Sky"
"arena scribe","Blue Sky"
"arena serpent","Blue Sky"
"arena shabti","Blue Sky"
"arena slime","Blue Sky"
"arena snoll","Blue Sky"
"arena succubus","Blue Sky"
"arena viking","Blue Sky;Hammerlea"
"arena vodoriga","Blue Sky;Horizon's Edge"
"arena wolf","Blue Sky"
"Arges","The Aquapolis (Zone)"
"Arimaspi","Bluefog"
"Arioch","The Lost City of Amdapor (Zone)"
"Arioch of the Isle","Newvoid"
"Ark anzu","Sterncastle Deck"
"Ark morbol","Forward Port Ventilator"
"Arkas","Cyancap Cavern"
"arkose golem","The Blue Sands"
"arm of the adjudicator","The Sunken Temple of Qarn (Hard) (Zone)"
"armalcolite","The Drowning Brand"
"armored chariot","The Threshold of Bounty"
"armored drudge","The Threshold of Bounty"
"armored pauldron","Main Generators"
"armored telodragon","Paglth'an (Zone)"
"armored weapon","Magitek Installation"
"Armstrong","Garlemald"
"aroma crawler","The Makers' Quarter"
"aroma leech","The Divine Audience"
"Arrhidaeus's lanner","Soul of the Creator;Entropy"
"asbestos coblyn","U'Ghamaro Mines"
"Ascian thaumaturge","The Footfalls"
"Asclepius","The Right Hand of Bahamut"
"Ash","Haukke Manor (Hard)"
"ashdrake","Brayflox's Longstop"
"Asipatra","Sanguine Perch"
"Askalaphos","Southwestern Ice Needles"
"Aspidochelone","Zanr'ak"
"aspis","Eshceyaani Wilds"
"assault aevis","Black Iron Bridge;Twinpools"
"assault biast","Black Iron Bridge"
"assault dragon","Black Iron Bridge"
"assault dragonfly","Twinpools"
"assault wyvern","Riversmeet"
"asterodia","Everkeep Ward"
"astraea","The Forsworn Promise"
"asvattha","Pavana's Remorse"
"Aswang","The Azim Steppe"
"Atomos","Walk of Lament"
"atrociraptor","The Citia Swamps;Lake Tusi Mek'ta"
"attack hound","Second Floor (Haukke Manor)"
"attack node","Meteor Fissure;Sector IV"
"attic bat","Ground Floor (Haukke Manor);Cellarage"
"Aturia","Boulder Downs"
"audacious elbst","The Val River Source"
"audience","Northeastern Ice Needles"
"augmented battle drake","Broken Water"
"aurochs","Skull Valley"
"automated avenger","Forum Patens"
"automated bit","Regio Urbanissima"
"automated colossus","Regio Urbanissima"
"automated death machine","Regio Urbanissima"
"automated Gabriel","Regio Domorum"
"automated roader","Regio Urbanissima"
"automated satellite","Regio Urbanissima"
"automated slasher","Regio Urbanissima"
"automatic turret","The Hall of Hieromancy"
"auxiliary ceruleum tank","The Keeper of the Lake (Zone)"
"Avere Bravearm","Eternal Calm (Hard)"
"avoirdupois","The Sunken Temple of Qarn"
"Azer","Syrcus Tower"
"Baal","The Tempest"
"baalzephon","The Lost City of Amdapor"
"Babaroon Halfshell","The Rat's Nest"
"Bagoly","The Burning Wall"
"Bahamut Prime","The Final Coil of Bahamut - Turn 4"
"baited jagil","The Smoldering Wastes"
"bald buzzard","Drybone"
"bald kraken","Shisui Temple"
"baleen guard","The Sultana's Lap"
"Balidet","U'Ghamaro Mines"
"ball of levin","Paglth'an (Zone);Recreation Zone"
"balloon","Alder Springs"
"balor","Bluefog"
"balyaborr","The Ut'ohmu Horizon"
"bandit archer","Wellwick Wood"
"bandit trapper","Wellwick Wood"
"banemite","Alder Springs;Everschade"
"banemite straggler","Witchdrop"
"banshee","The Misery (Landmark);The Teeth"
"baras","Nhaama's Retreat"
"Barbastelle","Lower La Noscea"
"Barbatos","Nald's Reflection"
"Barbelo","Containment Bay P1T6 (Zone)"
"Bardam","The Rebirth of Bardam the Brave"
"barghest","Eastern Thanalan"
"baritine croc","Snowcloak (Landmark)"
"Barometz","Quarterstone"
"Baron von Quiveron III Esquire","The Quiveron Manse"
"Barong","The East Val River Bank"
"Barong's fire","The East Val River Bank"
"barricade","Central Shroud"
"basalt golem","Outer La Noscea;The Long Climb;The Floating City of Nym"
"basilisk","Bluefog"
"bastet","Little Ala Mhigo"
"Batraal","Altar to Saint Daniffen"
"battle drake","Broken Water"
"battle-scarred bergthurs","Riversmeet"
"battle-scarred vindthurs","Slate Mountains"
"bavaroid waste","The Wanderer's Palace (Hard)"
"Beatrice","Seat of the Foremost"
"Beccho","Floor 20 (Heaven-on-High)"
"bedazzled tulihand","Landlord Colony"
"beggar bhikkhu","North Silvertear"
"beggar bonze","North Silvertear"
"beggar shramana","North Silvertear"
"beggar sozu","North Silvertear"
"behemoth","Snowcloak (Landmark);Behemoth's Dominion"
"Belah'dian knight","The Sunken Temple of Qarn (Hard) (Zone)"
"Belah'dian soul","The Sunken Temple of Qarn (Hard) (Zone)"
"bennu","IC-06 Main Bridge"
"benthos diviner","The Flounders' Floor"
"benthos grappler","The Flounders' Floor"
"benthos harpooner","The Flounders' Floor"
"bergthurs","Riversmeet"
"berkanan","The Central Circuit"
"Bero Roggo","The Ruling Quarter"
"Beroald the Last Standing","Ul'dah - Steps of Nald"
"berserker sphere","Prosperity's Promise;Wisdom's Ward"
"Bertha","Steps of Faith"
"beryl crab","Sastasha (Hard)"
"best gargoyle","Eternal Calm (Hard)"
"best vodoriga","Eternal Calm (Hard)"
"bestial node","Blue Sky"
"Beta","Ostrakon Deka-hexi"
"beta groundskeeper","Ohl Tahn;Eil Tohm;The Dravanian Hinterlands"
"beta opken","The Churning Mists;The Dravanian Hinterlands;The Sea of Clouds"
"betrayed soul","Dzemael Darkhold"
"bezoar","Heartbreak Holt"
"Bezul Huizan the Screamer","Whitebrim"
"Bhima","Floor 40 (Heaven-on-High)"
"bhoot","Pharos Sirius (Zone)"
"bhujamga","The Shroud of the Samgha"
"bi fang","The Glittering Basin"
"Bibireze Greysteel","Circle of the Tempered"
"bibliognost","Lower Tower of Ruin"
"biblioklept","Rhapsodies Quadrangle"
"bibliolater","The Great Gubal Library (Hard) (Zone)"
"bibliomancer","Rhapsodies Quadrangle"
"bibliophagist","Middle Floors (Hard)"
"bibliophile","Rhapsodies Quadrangle"
"bibliotaph","Lower Tower of Ruin"
"bifericeras","The Ruling Quarter"
"big claw","Quarterstone;The Gods' Grip"
"big shrapnel","U'Ghamaro Mines"
"Bigfoot","The Orchard"
"bigger chigoe","Issom-Har"
"Biggy","Copperbell Mines (Hard) (Zone)"
"bijou","Tomb of the Nullstone"
"biloko","Saint Mocianne's Arboretum"
"bioculture node","Incubation Bay VII;Incubation Bay VIII"
"biohazard","Incubation Bay VIII"
"bird eater","West Flamerock"
"bird of barathrum","The Alermuc Climb"
"bird of Elpis","Philomythes Notos"
"bird of Ligaka","Miyakabek'zoma"
"Bird of Paradise","The Sea of Clouds"
"Bitoso","Camp Bronze Lake"
"Bitoso adherent","The Floating City of Nym;Camp Bronze Lake"
"Bitoso of the Isle","Newvoid"
"bitsy basket","Timh Gyeus"
"black bat","Sastasha;The Bramble Patch"
"black eft","Greentear;Rootslake"
"black hole","The Parapet"
"black knight","The Vault (Zone)"
"black mage corpse","Cessair Lawns"
"black wolf","Heartbreak Holt"
"Blackbile Maladd Chah","Sagolii Desert;Zanr'ak"
"blackblood zu","Riversmeet"
"blackened headstone","The Tangle"
"Blackguard","Central Conveyance Unit"
"Blackstake Rodegg Chah","Broken Water"
"Blade of the Griffin","Airship Landing (Baelsar's Wall)"
"bladesblood","Transmission Control"
"blanga","Swiftperch;The Clutch"
"Blaster","Machinery Bay 67;The Burden of the Son"
"Blaster mirage","Machinery Bay 67;The Burden of the Son"
"blasting cap","Shaft E1"
"Blazewing","Southwestern Ice Needles"
"blazing anala","The Central Circuit;The Medial Circuit (Area)"
"blazing angon","Blue Sky"
"blazing cerule anala","Maw of Sansheya"
"blazing soul","Asyle Volcane"
"blizzard arrow","The Excruciationator"
"blizzard dragon","An Answer of Shame"
"blizzard sprite","Nald's Reflection;Squib Sands;The Anemos Seam"
"blizzardsphere","Neurolink Nacelle"
"bloated big claw","Cracked Shell Beach"
"bloated yumemi","Exile"
"blood bateleur","Dragonhead;Whitebrim"
"blood dragon","Ohl Tahn"
"Bloodbearer Robairlain","Mourn"
"Bloodbelly thaumaturge","South Shroud"
"bloodglider","The Last Forest"
"bloodglider monk","The Temple of the Fist (Zone)"
"bloodguard","The Queen's Bedchamber"
"bloodlapper","The Twain"
"bloodmoon martyr","Amdapor Keep (Hard) (Zone)"
"bloodmoon sacrifice","Amdapor Keep (Hard) (Zone)"
"Bloodshore bell","Costa del Sol;Bloodshore"
"bloodshot deepeye","Riversmeet"
"bloodshot eye","Drybone"
"Bloodshower Atabb Chah","Amalj'aa Encampment"
"bloodsucker","Solace"
"bloody cur","Drybone"
"Bloody Mary","Eastern La Noscea"
"blooming biloko","The Study (Hard)"
"blooming netzach","The Glostfired Bank"
"blooming ochu","Saint Mocianne's Arboretum"
"blooming tomatl","Fort Gohn"
"blue back","Runstop Frontblock"
"blue bavarois","The Final Ease"
"blue deer doe","Bowrest"
"blue deer stag","Bowrest"
"blue leafkin","The Cerulean Cexudross"
"blue morpho","The Cerulean Cexudross"
"blue swimmer","Where the Dry Return"
"blue unkiu","Shisui Temple"
"Bockman","Central Shroud"
"bog yarzon","Jadeite Thick"
"bognarious bandersnatch","The Hundred Throes"
"bogy","Seasong Grotto"
"bolt hound","East Yyasulani"
"Bolthorn","The Weeping Saint"
"bomb baron","Bluefog"
"bomb baronet","Coerthas Central Highlands"
"bomb boulder","The Navel (Zone)"
"bomb char","Coerthas Central Highlands"
"bomb incubator","Iron Lake"
"bomb queen","Coerthas Central Highlands"
"bomb servitor","Coerthas Central Highlands"
"Bombadeel","The Val River Swale"
"Bombard blank","Zephyr Drift"
"bombast","Proud Creek;Black Brush"
"Bone Crawler","The Peaks"
"bone dragon","Hall of the Tainted"
"bone nix","Dragonbreath Falls"
"Bonnacon","Western La Noscea"
"bony wolf","Riversmeet"
"boogyman","Amdapor Keep (Hard) (Zone)"
"booted death machine","Regio Urbanissima"
"bothered bee cloud","Avalonia Fallen"
"bounding bandersnatch","Chocobo Forest"
"Bounty craklaw","The Arrapago Remnants"
"Bounty monk","The Arrapago Remnants"
"Bounty ogrebon","The Arrapago Remnants"
"Bounty rockfin","The Arrapago Remnants"
"Bounty ruszor","The Arrapago Remnants"
"Bounty uragnite","The Arrapago Remnants"
"Bounty vepar","The Arrapago Remnants"
"Bounty xzomit","The Arrapago Remnants"
"bovian","The Nabaath Mines"
"bovian bull","The Nabaath Mines"
"Bozjan antlion","Old Bozja"
"Bozjan anzu","The Alermuc Climb"
"Bozjan bandersnatch","Old Bozja"
"Bozjan biast","Old Bozja"
"Bozjan doblyn","Old Bozja"
"Bozjan doll","The Alermuc Climb"
"Bozjan elasmoth","The Alermuc Climb"
"Bozjan elbst","The Alermuc Climb"
"Bozjan geshunpest","Southern Entrenchment"
"Bozjan gravekeeper","The Alermuc Climb"
"Bozjan korrigan","Southern Entrenchment"
"Bozjan matamata","Southern Entrenchment"
"Bozjan monitor","The Alermuc Climb"
"Bozjan mudpuppy","Southern Entrenchment"
"Bozjan nepenthes","Southern Entrenchment"
"Bozjan ochu","The Alermuc Climb"
"Bozjan orobon","Southern Entrenchment"
"Bozjan phantom","Pride of the Lion"
"Bozjan phobosuchus","The Alermuc Climb"
"Bozjan ranunculus","The Alermuc Climb"
"Bozjan rider","The Alermuc Climb"
"Bozjan sabotender","Old Bozja"
"Bozjan screamer","The Alermuc Climb"
"Bozjan snake","The Alermuc Climb"
"Bozjan taipan","Old Bozja"
