Id,Cat,Skel,Key
1150,monster,m0005,mon_sp/m0005/mon_sp003
1151,monster,m0005,mon_sp/m0005/mon_sp004
1152,monster,m0013,mon_sp/m0013/mon_sp001
1153,monster,m0013,mon_sp/m0013/mon_sp002
1154,monster,m0013,mon_sp/m0013/mon_sp003
1155,monster,m0002,mon_sp/m0002/mon_sp001
1156,monster,m0002,mon_sp/m0002/mon_sp002
1157,monster,m0002,mon_sp/m0002/mon_sp003
1158,monster,m0002,mon_sp/m0002/mon_sp004
1159,monster,m0002,mon_sp/m0002/mon_sp005
1160,monster,m0025,mon_sp/m0025/mon_sp001
1161,monster,m0025,mon_sp/m0025/mon_sp002
1162,monster,m0025,mon_sp/m0025/mon_sp003
1163,monster,m0010,mon_sp/m0010/mon_sp001
1164,monster,m0010,mon_sp/m0010/mon_sp002
1165,monster,m0010,mon_sp/m0010/mon_sp003
1166,monster,m0014,mon_sp/m0014/mon_sp001
1167,monster,m0014,mon_sp/m0014/mon_sp002
1168,monster,m0014,mon_sp/m0014/mon_sp003
1169,monster,m0019,mon_sp/m0019/mon_sp001
1170,monster,m0019,mon_sp/m0019/mon_sp002
1171,monster,m0019,mon_sp/m0019/mon_sp003
1172,monster,m0006,mon_sp/m0006/mon_sp001
1173,monster,m0006,mon_sp/m0006/mon_sp002
1174,monster,m0006,mon_sp/m0006/mon_sp003
1175,monster,m0020,mon_sp/m0020/mon_sp001
1176,monster,m0020,mon_sp/m0020/mon_sp002
1177,monster,m0020,mon_sp/m0020/mon_sp003
1178,monster,m0003,mon_sp/m0003/mon_sp001
1179,monster,m0003,mon_sp/m0003/mon_sp002
1180,monster,m0003,mon_sp/m0003/mon_sp003
1181,monster,m0028,mon_sp/m0028/mon_sp001
1182,monster,m0028,mon_sp/m0028/mon_sp002
1183,monster,m0028,mon_sp/m0028/mon_sp003
1184,monster,m0028,mon_sp/m0028/mon_sp004
1188,monster,m0065,mon_sp/m0065/mon_sp001
1189,monster,m0065,mon_sp/m0065/mon_sp002
1190,monster,m0065,mon_sp/m0065/mon_sp003
1191,monster,m0032,mon_sp/m0032/mon_sp001
1192,monster,m0032,mon_sp/m0032/mon_sp002
1193,monster,m0032,mon_sp/m0032/mon_sp003
1194,monster,m0064,mon_sp/m0064/mon_sp001
1195,monster,m0064,mon_sp/m0064/mon_sp002
1196,monster,m0055,mon_sp/m0055/mon_sp001
1197,monster,m0023,mon_sp/m0023/mon_sp001
1198,monster,m0023,mon_sp/m0023/mon_sp002
1199,monster,m0022,mon_sp/m0022/mon_sp001
1200,monster,m0022,mon_sp/m0022/mon_sp002
1205,monster,m0027,mon_sp/m0027/mon_sp001
1206,monster,m0027,mon_sp/m0027/mon_sp002
1207,monster,m0027,mon_sp/m0027/mon_sp003
1208,monster,m0021,mon_sp/m0021/mon_sp001
1209,monster,m0021,mon_sp/m0021/mon_sp002
1210,monster,m0021,mon_sp/m0021/mon_sp003
1211,monster,m0039,mon_sp/m0039/mon_sp001
1212,monster,m0039,mon_sp/m0039/mon_sp002
1213,monster,m0039,mon_sp/m0039/mon_sp003
1214,monster,m0079,mon_sp/m0079/mon_sp001
1215,monster,m0079,mon_sp/m0079/mon_sp002
1216,monster,m0079,mon_sp/m0079/mon_sp003
1217,monster,m0079,mon_sp/m0079/mon_sp004
1218,monster,m0079,mon_sp/m0079/mon_sp005
1219,monster,m0027,mon_sp/m0027/mon_sp004
1220,monster,m0027,mon_sp/m0027/mon_sp005
1223,monster,m0021,mon_sp/m0021/mon_sp004
1224,monster,m0021,mon_sp/m0021/mon_sp005
1225,monster,m0021,mon_sp/m0021/mon_sp006
1233,monster,m0034,mon_sp/m0034/mon_sp001
1234,monster,m0034,mon_sp/m0034/mon_sp002
1235,monster,m0034,mon_sp/m0034/mon_sp003
1236,monster,m0036,mon_sp/m0036/mon_sp001
1237,monster,m0036,mon_sp/m0036/mon_sp002
1238,monster,m0036,mon_sp/m0036/mon_sp003
1239,monster,m0036,mon_sp/m0036/mon_sp004
1240,monster,m0040,mon_sp/m0040/mon_sp001
1241,monster,m0040,mon_sp/m0040/mon_sp002
1242,monster,m0040,mon_sp/m0040/mon_sp003
1243,monster,m0040,mon_sp/m0040/mon_sp004
1244,monster,m0040,mon_sp/m0040/mon_sp005
1245,monster,m0041,mon_sp/m0041/mon_sp001
1246,monster,m0041,mon_sp/m0041/mon_sp002
1247,monster,m0041,mon_sp/m0041/mon_sp003
1248,monster,m0043,mon_sp/m0043/mon_sp001
1249,monster,m0043,mon_sp/m0043/mon_sp002
1250,monster,m0043,mon_sp/m0043/mon_sp003
1251,monster,m0045,mon_sp/m0045/mon_sp001
1252,monster,m0045,mon_sp/m0045/mon_sp002
1253,monster,m0046,mon_sp/m0046/mon_sp001
1254,monster,m0046,mon_sp/m0046/mon_sp002
1255,monster,m0046,mon_sp/m0046/mon_sp003
1256,monster,m0047,mon_sp/m0047/mon_sp001
1257,monster,m0047,mon_sp/m0047/mon_sp002
1258,monster,m0047,mon_sp/m0047/mon_sp003
1259,monster,m0051,mon_sp/m0051/mon_sp001
1260,monster,m0051,mon_sp/m0051/mon_sp002
1261,monster,m0056,mon_sp/m0056/mon_sp001
1262,monster,m0056,mon_sp/m0056/mon_sp002
1263,monster,m0056,mon_sp/m0056/mon_sp003
1264,monster,m0068,mon_sp/m0068/mon_sp001
1265,monster,m0068,mon_sp/m0068/mon_sp002
1266,monster,m0068,mon_sp/m0068/mon_sp003
1267,monster,m0068,mon_sp/m0068/mon_sp004
1268,monster,m0068,mon_sp/m0068/mon_sp005
1269,monster,m0068,mon_sp/m0068/mon_sp006
1270,monster,m0076,mon_sp/m0076/mon_sp001
1271,monster,m0076,mon_sp/m0076/mon_sp002
1272,monster,m0076,mon_sp/m0076/mon_sp003
1273,monster,m0076,mon_sp/m0076/mon_sp004
1274,monster,m0076,mon_sp/m0076/mon_sp005
1275,monster,m0076,mon_sp/m0076/mon_sp006
1276,monster,m0076,mon_sp/m0076/mon_sp007
1277,monster,m0082,mon_sp/m0082/mon_sp001
1278,monster,m0082,mon_sp/m0082/mon_sp002
1279,monster,m0082,mon_sp/m0082/mon_sp003
1280,monster,m0082,mon_sp/m0082/mon_sp004
1281,monster,m0035,mon_sp/m0035/mon_sp001
1282,monster,m0035,mon_sp/m0035/mon_sp002
1283,monster,m0035,mon_sp/m0035/mon_sp003
1284,monster,m0035,mon_sp/m0035/mon_sp004
1285,monster,m0035,mon_sp/m0035/mon_sp005
1287,monster,m0085,mon_sp/m0085/mon_sp001
1288,monster,m0085,mon_sp/m0085/mon_sp002
1301,monster,m0038,mon_sp/m0038/mon_sp001
1302,monster,m0038,mon_sp/m0038/mon_sp002
1303,monster,m0038,mon_sp/m0038/mon_sp003
1304,monster,m0038,mon_sp/m0038/mon_sp004
1305,monster,m0044,mon_sp/m0044/mon_sp001
1306,monster,m0044,mon_sp/m0044/mon_sp002
1307,monster,m0044,mon_sp/m0044/mon_sp003
1308,monster,m0050,mon_sp/m0050/mon_sp001
1309,monster,m0050,mon_sp/m0050/mon_sp002
1310,monster,m0054,mon_sp/m0054/mon_sp001
1311,monster,m0054,mon_sp/m0054/mon_sp002
1312,monster,m0054,mon_sp/m0054/mon_sp003
1313,monster,m0054,mon_sp/m0054/mon_sp004
1314,monster,m0054,mon_sp/m0054/mon_sp005
1315,monster,m0054,mon_sp/m0054/mon_sp006
1316,monster,m0061,mon_sp/m0061/mon_sp001
1317,monster,m0061,mon_sp/m0061/mon_sp002
1318,monster,m0062,mon_sp/m0062/mon_sp001
1319,monster,m0062,mon_sp/m0062/mon_sp002
1320,monster,m0080,mon_sp/m0080/mon_sp001
1321,monster,m0080,mon_sp/m0080/mon_sp002
1322,monster,m0084,mon_sp/m0084/mon_sp001
1323,monster,m0084,mon_sp/m0084/mon_sp002
1324,monster,m0084,mon_sp/m0084/mon_sp003
1325,monster,m0086,mon_sp/m0086/mon_sp001
1326,monster,m0086,mon_sp/m0086/mon_sp002
1327,monster,m0086,mon_sp/m0086/mon_sp003
1328,monster,m7001,mon_sp/m7001/mon_sp006_hit
1329,monster,m7001,mon_sp/m7001/mon_sp007_hit
1334,monster,m0033,mon_sp/m0033/mon_sp001
1335,monster,m0033,mon_sp/m0033/mon_sp002
1336,monster,m0033,mon_sp/m0033/mon_sp003
1337,monster,m0037,mon_sp/m0037/mon_sp001
1338,monster,m0037,mon_sp/m0037/mon_sp002
1339,monster,m0037,mon_sp/m0037/mon_sp003
1340,monster,m0114,mon_sp/m0114/mon_sp001
1341,monster,m0114,mon_sp/m0114/mon_sp002
1342,monster,m0114,mon_sp/m0114/mon_sp003
1343,monster,m0114,mon_sp/m0114/mon_sp004
1345,monster,m0049,mon_sp/m0049/mon_sp001
1346,monster,m0049,mon_sp/m0049/mon_sp002
1347,monster,m0049,mon_sp/m0049/mon_sp003
1348,monster,m0049,mon_sp/m0049/mon_sp004
1349,monster,m0049,mon_sp/m0049/mon_sp005
1350,monster,m0049,mon_sp/m0049/mon_sp006
1351,monster,m0049,mon_sp/m0049/mon_sp007
1352,monster,m0057,mon_sp/m0057/mon_sp001
1353,monster,m0057,mon_sp/m0057/mon_sp002
1354,monster,m0057,mon_sp/m0057/mon_sp003
1355,monster,m0057,mon_sp/m0057/mon_sp004
1356,monster,m0057,mon_sp/m0057/mon_sp005
1357,monster,m0057,mon_sp/m0057/mon_sp006
1358,monster,m0058,mon_sp/m0058/mon_sp001
1359,monster,m0058,mon_sp/m0058/mon_sp002
1360,monster,m0058,mon_sp/m0058/mon_sp003
1361,monster,m0058,mon_sp/m0058/mon_sp004
1362,monster,m0058,mon_sp/m0058/mon_sp005
1363,monster,m0058,mon_sp/m0058/mon_sp006
1364,monster,m0058,mon_sp/m0058/mon_sp007
1365,monster,m0043,mon_sp/m0043/mon_sp006
1366,monster,m7002,mon_sp/m7002/mon_sp008
1367,monster,m7002,mon_sp/m7002/mon_sp001
1368,monster,m7002,mon_sp/m7002/mon_sp002
1369,monster,m7002,mon_sp/m7002/mon_sp003
1370,monster,m7002,mon_sp/m7002/mon_sp004
1371,monster,m7002,mon_sp/m7002/mon_sp005
1372,monster,m7002,mon_sp/m7002/mon_sp006
1373,monster,m7002,mon_sp/m7002/mon_sp007
1374,monster,m0131,mon_sp/m0131/mon_sp006_hit
1375,monster,m0131,mon_sp/m0131/mon_sp007_hit
1376,monster,m0097,mon_sp/m0097/mon_sp014
1379,monster,m0016,mon_sp/m0016/mon_sp001
1380,monster,m0063,mon_sp/m0063/mon_sp001
1381,monster,m0063,mon_sp/m0063/mon_sp002
1382,monster,m0063,mon_sp/m0063/mon_sp003
1383,monster,m0063,mon_sp/m0063/mon_sp004
1384,monster,m0063,mon_sp/m0063/mon_sp005
1385,monster,m0063,mon_sp/m0063/mon_sp006
1386,monster,m0063,mon_sp/m0063/gc_sp001
1387,monster,m0063,mon_sp/m0063/gc_sp002
1388,monster,m0096,mon_sp/m0096/mon_sp001
1389,monster,m0096,mon_sp/m0096/mon_sp002
1390,monster,m0096,mon_sp/m0096/mon_sp003
1391,monster,m0096,mon_sp/m0096/mon_sp004
1392,monster,m0096,mon_sp/m0096/mon_sp005
1393,monster,m0096,mon_sp/m0096/mon_sp006
1394,monster,m0096,mon_sp/m0096/mon_sp007
1395,monster,m0096,mon_sp/m0096/mon_sp008
1396,monster,m0096,mon_sp/m0096/mon_sp009
1397,monster,m0096,mon_sp/m0096/mon_sp010
1398,monster,m0096,mon_sp/m0096/mon_sp011
1399,monster,m0096,mon_sp/m0096/mon_sp012
1400,monster,m0096,mon_sp/m0096/mon_sp013
1401,monster,m0090,mon_sp/m0090/mon_sp001
1402,monster,m0090,mon_sp/m0090/mon_sp002
1403,monster,m0095,mon_sp/m0095/mon_sp001
1404,monster,m0095,mon_sp/m0095/mon_sp002
1405,monster,m0095,mon_sp/m0095/mon_sp003
1406,monster,m0095,mon_sp/m0095/mon_sp004
1407,monster,m0095,mon_sp/m0095/mon_sp005
1408,monster,m0095,mon_sp/m0095/mon_sp006
1409,monster,m0095,mon_sp/m0095/mon_sp007
1410,monster,m0095,mon_sp/m0095/mon_sp008
1411,monster,m0095,mon_sp/m0095/mon_sp009
1412,monster,m0095,mon_sp/m0095/mon_sp010
1413,monster,m0095,mon_sp/m0095/mon_sp011
1414,monster,m0095,mon_sp/m0095/mon_sp012
1415,monster,m0095,mon_sp/m0095/mon_sp013
1416,monster,m0095,mon_sp/m0095/mon_sp014
1417,monster,m0001,mon_sp/m0001/mon_sp005
1418,monster,m0001,mon_sp/m0001/mon_sp006
1419,monster,m0001,mon_sp/m0001/mon_sp007
1420,monster,m0001,mon_sp/m0001/mon_sp008
1421,monster,m0001,mon_sp/m0001/mon_sp009
1424,monster,m0087,mon_sp/m0087/mon_sp001
1425,monster,m0087,mon_sp/m0087/mon_sp002
1426,monster,m0087,mon_sp/m0087/mon_sp003
1427,monster,m0087,mon_sp/m0087/mon_sp004
1428,monster,m0087,mon_sp/m0087/mon_sp005
1429,monster,m0025,mon_sp/m0025/mon_sp004
1430,monster,m0098,mon_sp/m0098/mon_sp001
1431,monster,m0098,mon_sp/m0098/mon_sp002
1432,monster,m0098,mon_sp/m0098/mon_sp003
1433,monster,m0098,mon_sp/m0098/mon_sp004
1434,monster,m0098,mon_sp/m0098/mon_sp005
1435,monster,m0098,mon_sp/m0098/mon_sp006
1436,monster,m0098,mon_sp/m0098/mon_sp007
1437,monster,m0098,mon_sp/m0098/mon_sp008
1438,monster,m0098,mon_sp/m0098/mon_sp009
1439,monster,m0098,mon_sp/m0098/mon_sp010
1440,monster,m0098,mon_sp/m0098/mon_sp011
1441,monster,m0098,mon_sp/m0098/mon_sp012
1486,monster,m0146,mon_sp/m0146/mon_sp001
1487,monster,m0146,mon_sp/m0146/mon_sp002
1488,monster,m0007,mon_sp/m0007/mon_sp004
1489,monster,m0007,mon_sp/m0007/mon_sp005
1491,monster,m0003,mon_sp/m0003/mon_sp004
1492,monster,m0003,mon_sp/m0003/mon_sp005
1493,monster,m0030,mon_sp/m0030/mon_sp004
1494,monster,m0030,mon_sp/m0030/mon_sp005
1495,monster,m0030,mon_sp/m0030/mon_sp006
1496,monster,m0041,mon_sp/m0041/mon_sp004
1497,monster,m0041,mon_sp/m0041/mon_sp005
1498,monster,m0039,mon_sp/m0039/mon_sp004
1499,monster,m0019,mon_sp/m0019/mon_sp004
1500,monster,m0150,mon_sp/m0150/mon_sp001
1501,monster,m0150,mon_sp/m0150/mon_sp002
1502,monster,m0135,mon_sp/m0135/mon_sp001
1503,monster,m0135,mon_sp/m0135/mon_sp002
1504,monster,m0135,mon_sp/m0135/mon_sp003
1505,monster,m0133,mon_sp/m0133/mon_sp001
1506,monster,m0133,mon_sp/m0133/mon_sp002
1507,monster,m0134,mon_sp/m0134/mon_sp001
1508,monster,m0134,mon_sp/m0134/mon_sp002
1511,monster,m0141,mon_sp/m0141/mon_sp001
1512,monster,m0141,mon_sp/m0141/mon_sp002
1513,monster,m0142,mon_sp/m0142/mon_sp001
1514,monster,m0142,mon_sp/m0142/mon_sp002
1515,monster,m0151,mon_sp/m0151/mon_sp001
1516,monster,m0151,mon_sp/m0151/mon_sp002
1517,monster,m0151,mon_sp/m0151/mon_sp003
1518,monster,m0137,mon_sp/m0137/mon_sp001
1519,monster,m0137,mon_sp/m0137/mon_sp002
1520,monster,m0140,mon_sp/m0140/mon_sp001
1521,monster,m0140,mon_sp/m0140/mon_sp002
1522,monster,m0140,mon_sp/m0140/mon_sp003
1523,monster,m0138,mon_sp/m0138/mon_sp001
1524,monster,m0138,mon_sp/m0138/mon_sp002
1525,monster,m0143,mon_sp/m0143/mon_sp001
1526,monster,m0143,mon_sp/m0143/mon_sp002
1527,monster,m0143,mon_sp/m0143/mon_sp003
1528,monster,m0143,mon_sp/m0143/mon_sp004
1529,monster,m0021,mon_sp/m0021/mon_sp007
1530,monster,m0021,mon_sp/m0021/mon_sp007_hit
1531,monster,m0147,mon_sp/m0147/mon_sp001
1532,monster,m0147,mon_sp/m0147/mon_sp002
1533,monster,m0147,mon_sp/m0147/mon_sp003
1534,monster,m0148,mon_sp/m0148/mon_sp001
1535,monster,m0148,mon_sp/m0148/mon_sp002
1536,monster,m0148,mon_sp/m0148/mon_sp003
1537,monster,m0070,mon_sp/m0070/mon_sp007
1538,monster,m0070,mon_sp/m0070/mon_sp001
1539,monster,m0159,mon_sp/m0159/mon_sp001
1540,monster,m0070,mon_sp/m0070/mon_sp003
1541,monster,m0070,mon_sp/m0070/mon_sp004
1542,monster,m0070,mon_sp/m0070/mon_sp005
1543,monster,m0070,mon_sp/m0070/mon_sp006
1544,monster,m0070,mon_sp/m0070/mon_sp002
1545,monster,m0063,mon_sp/m0063/mon_sp007
1546,monster,m0063,mon_sp/m0063/mon_sp008
1547,monster,m0063,mon_sp/m0063/mon_sp009
1549,monster,m9996,mon_sp/m9996/mon_sp001
1551,monster,m0159,mon_sp/m0159/mon_sp001_hit
1552,monster,m0063,mon_sp/m0063/mon_sp010
1553,monster,m0063,mon_sp/m0063/mon_sp011
1554,monster,m0061,mon_sp/m0061/mon_sp003
1555,monster,m0059,mon_sp/m0059/mon_sp001
1558,monster,m0059,mon_sp/m0059/mon_sp002
1559,monster,m0059,mon_sp/m0059/mon_sp003
1560,monster,m0029,mon_sp/m0029/mon_sp006
1561,monster,m0029,mon_sp/m0029/mon_sp007
1564,monster,m0029,mon_sp/m0029/mon_sp008
1565,monster,m0029,mon_sp/m0029/mon_sp009
1566,monster,m0026,mon_sp/m0026/mon_sp004
1567,monster,m0026,mon_sp/m0026/mon_sp005
1568,monster,m0051,mon_sp/m0051/mon_sp005
1570,monster,m9994,mon_sp/m9994/mon_sp001_hit
1572,monster,m0042,mon_sp/m0042/mon_sp001
1573,monster,m0042,mon_sp/m0042/mon_sp002
1575,monster,m0042,mon_sp/m0042/mon_sp003
1576,monster,m0042,mon_sp/m0042/mon_sp004
1577,monster,m0042,mon_sp/m0042/mon_sp005
1578,monster,m0042,mon_sp/m0042/mon_sp006
1579,monster,m0156,mon_sp/m0156/mon_sp001
1597,monster,m0144,mon_sp/m0144/mon_sp001
1598,monster,m0144,mon_sp/m0144/mon_sp002
1599,monster,m0144,mon_sp/m0144/mon_sp003
1601,monster,m0031,mon_sp/m0031/mon_sp001
1602,monster,m0031,mon_sp/m0031/mon_sp002
1603,monster,m0099,mon_sp/m0099/mon_sp001
1605,monster,m0099,mon_sp/m0099/mon_sp002
1606,monster,m0099,mon_sp/m0099/mon_sp003
1607,monster,m0099,mon_sp/m0099/mon_sp004
1608,monster,m0099,mon_sp/m0099/mon_sp005
1609,monster,m0099,mon_sp/m0099/mon_sp006
1610,monster,m0099,mon_sp/m0099/mon_sp007
1611,monster,m0099,mon_sp/m0099/mon_sp008
1612,monster,m0099,mon_sp/m0099/mon_sp009
1613,monster,m0099,mon_sp/m0099/mon_sp010
1614,monster,m0099,mon_sp/m0099/mon_sp011
1615,monster,m0099,mon_sp/m0099/mon_sp012
1616,monster,m0099,mon_sp/m0099/mon_sp013
1617,monster,m0099,mon_sp/m0099/mon_sp014
1618,monster,m0099,mon_sp/m0099/mon_sp015
1619,monster,m0099,mon_sp/m0099/mon_sp016
1620,monster,m0099,mon_sp/m0099/mon_sp017
1621,monster,m0095,mon_sp/m0095/mon_sp015
1622,monster,m0098,mon_sp/m0098/mon_sp013
1623,monster,m0096,mon_sp/m0096/mon_sp014
1624,monster,m0099,mon_sp/m0099/mon_sp018
1625,monster,m0012,mon_sp/m0012/mon_sp001
1627,monster,m0099,mon_sp/m0099/mon_sp019
1629,monster,m0062,mon_sp/m0062/mon_sp004
1630,monster,m0012,mon_sp/m0012/mon_sp001_hit
1643,monster,m7002,mon_sp/m7002/mon_sp003_hit
1644,monster,m7002,mon_sp/m7002/mon_sp005_hit
1651,monster,m7004,mon_sp/m7004/mon_sp001
1652,monster,m7004,mon_sp/m7004/mon_sp002
1653,monster,m7004,mon_sp/m7004/mon_sp003
1654,monster,m7004,mon_sp/m7004/mon_sp004
1655,monster,m7004,mon_sp/m7004/mon_sp005
1656,monster,m7005,mon_sp/m7005/mon_sp001
1657,monster,m7005,mon_sp/m7005/mon_sp002
1658,monster,m7005,mon_sp/m7005/mon_sp003
1659,monster,m7005,mon_sp/m7005/mon_sp004
1660,monster,m7005,mon_sp/m7005/mon_sp005
1661,monster,m7003,mon_sp/m7003/mon_sp001
1662,monster,m7003,mon_sp/m7003/mon_sp002
1663,monster,m7003,mon_sp/m7003/mon_sp003
