Skel,McType,NumAnim,Names
d1028,demihuman,23,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_question cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_id0 cbnm_swu_01f_lp0 cbnm_swu_02f_lp0 cbnm_swu_id0 cbnm_swu_trn_l_lp cbnm_swu_trn_r_lp
d1029,demihuman,18,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_question cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1030,demihuman,16,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1031,demihuman,17,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_question cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1033,demihuman,11,cbbm_id0 cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3
d1034,demihuman,3,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1035,demihuman,3,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1036,demihuman,14,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1037,demihuman,5,cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1038,demihuman,5,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1039,demihuman,28,cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_01l_lp0 cbnm_fmt_01r_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_02l_lp0 cbnm_fmt_02r_lp0 cbnm_fmt_down cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_landing cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_rise1 cbnm_swu_rise2
d1040,demihuman,2,cbnm_01f_lp0 cbnm_id0
d1041,demihuman,5,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1042,demihuman,1,cbnm_id0
d1043,demihuman,4,cbfa_add_no cbfa_add_yes cbnm_02f_lp0 cbnm_id0
d1044,demihuman,2,cbnm_01f_lp0 cbnm_id0
d1045,demihuman,11,cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp
d1048,demihuman,1,cbnm_id0
d1049,demihuman,1,cbnm_id0
d1050,demihuman,4,cbbm_02f_lp0 cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp
d1051,demihuman,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1052,demihuman,13,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1055,demihuman,17,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_swo_01f_lp0 cbnm_swo_02f_lp0 cbnm_swo_id0
d1056,demihuman,5,cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp
d1057,demihuman,7,cbfa_add_look_lr cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_sprint_lp0 cbnm_trn_l_lp cbnm_trn_r_lp
d1058,demihuman,2,cbbm_02f_lp0 cbbm_id0
d1059,demihuman,1,cbnm_id0
d1060,demihuman,15,cbbm_02f_lp0 cbbm_atk1 cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1061,demihuman,3,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1062,demihuman,3,cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1063,demihuman,7,cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbnm_id0
d1064,demihuman,7,cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbnm_id0
d1065,demihuman,10,cbbm_02f_lp0 cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short
d1066,demihuman,24,cbbm_02f_lp0 cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short
d1067,demihuman,18,cbbm_ded cbbm_dedpose cbna_add_dmg_f cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_f cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_sprint_lp0 cbnm_trn_l_lp cbnm_trn_r_lp
d1068,demihuman,46,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp cbbm_sp_h_1 cbbm_sp_h_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbbp_a_activ cbbp_a_deact cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_long2 cbfa_add_chest_normal_middle cbfa_add_chest_normal_middle2 cbfa_add_chest_normal_short cbfa_add_chest_normal_short2 cbfa_add_chest_shout_long cbfa_add_chest_shout_long2 cbfa_add_chest_shout_middle cbfa_add_chest_shout_middle2 cbfa_add_chest_shout_short cbfa_add_chest_shout_short2 cbfa_add_chest_whisper_long cbfa_add_chest_whisper_long2 cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_middle2 cbfa_add_chest_whisper_short cbfa_add_chest_whisper_short2 cbnm_01f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1069,demihuman,22,cbbm_02f_lp0 cbbm_id0 cbnm_01b_lp0 cbnm_01f_lp0 cbnm_02f_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_down cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_landing cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_rise1 cbnm_swu_rise2
d1070,demihuman,25,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbnm_01f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1071,demihuman,22,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_sprint_lp0 cbnm_trn_l_lp cbnm_trn_r_lp
d1072,demihuman,15,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1073,demihuman,15,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1074,demihuman,2,cbbm_sp_b_1 cbbm_sp_b_2lp
d1077,demihuman,1,cbnm_id0
d1084,demihuman,22,cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_short_1 cbbm_sp_a_short_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_b_short_1 cbbm_sp_b_short_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_c_short_1 cbbm_sp_c_short_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_d_short_1 cbbm_sp_d_short_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp
d1085,demihuman,25,cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp cbbm_sp_h_1 cbbm_sp_h_2lp cbbm_sp_i_1 cbbm_sp_i_2lp cbbm_sp_j_1 cbbm_sp_j_2lp cbbm_sp_k_1 cbbm_sp_k_2lp cbbm_trn_l_lp cbbm_trn_r_lp
d1088,demihuman,5,cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
d1093,demihuman,2,cbnm_01f_lp0 cbnm_id0
m0001,monster,12,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbnm_01f_lp0 cbnm_id0
m0002,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0
m0003,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0004,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_sht1 cbnm_01f_lp0 cbnm_id0
m0005,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_2lp cbbm_sp_c_2lp
m0006,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0007,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0008,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0009,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sht1 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0010,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0011,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0
m0012,monster,13,cbba_add_dmg_f cbbm_02f_lp0 cbbm_02l_lp0 cbbm_02r_lp0 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_slide_02l_lp0 cbbm_slide_02r_lp0 cbbm_sp_b_1 cbbm_sp_b_2lp
m0013,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0014,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0
m0015,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0016,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_id0
m0017,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbnm_01f_lp0 cbnm_id0
m0018,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_id0
m0019,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0020,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3
m0021,monster,21,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0022,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbfa_add_all cbnm_01f_lp0
m0023,monster,12,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
m0024,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0025,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp
m0026,monster,13,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp
