BaseId,MinionName
15380,clockwork lantern
15381,frilled dragon
15382,wind-up Cirina
15383,wind-up Sadu
15384,copycat bulb
15385,wind-up Tarutaru
15386,wind-up Tsukuyomi
15387,wind-up Zhloe
15388,Construct 8
15389,Palico
15390,Poogie
15391,attendee #777
15392,scarlet peacock
15393,wind-up Alpha
15394,OMG
15395,wind-up G'raha Tia
15396,Little Yin
15397,Little Yang
15398,wind-up Cloud
15399,wind-up Aerith
15400,wind-up Tifa
15401,mudpie
15402,bridesmoogle
15403,wind-up Elvaan
15404,dhalmel calf
15405,capybara pup
15406,baby gremlin
15407,Conditional Virtue
15408,yukinko snowflake
15409,dress-up Tataru
15410,wind-up weapon
15411,wind-up Qalyana
15412,wind-up Redback
15413,minitek conveyor
15414,wind-up Fran
15415,wind-up Nu Mou
15416,Seitei
15417,zephyrous zabuton
15418,abroader otter
15419,hedgehoglet
15420,brave new Y'shtola
15421,wind-up Ryne
15422,black hayate
15423,chameleon
15424,wind-up Fuath
15425,armadillo bowler
15426,the Great Serpent of Ronka
15427,micro gigantender
15428,clionid larva
15429,bitty duckbill
15430,Eden Minor
15431,giant beaver
15432,wind-up Suzaku
15433,wind-up Omega-M
15434,wind-up Omega-F
15435,tinker's bell
15436,tiny echevore
15437,sharksucker-class insubmersible
15438,shoebill
15439,butterfly effect
15440,ironfrog ambler
15441,forgiven hate
15442,bacon bits
15443,wind-up pixie
15444,mystic weapon
15445,meerkat
15446,miniature white knight
15447,Cute Justice
15448,domakin
15449,dress-up Estinien
15450,little leannan
15451,wind-up hobgoblin
15452,Cerberpup
15453,pod 054
15454,pod 316
15455,sungold Talos
15456,Malone
15457,little leafman
15458,the Behelmeted Serpent of Ronka
15459,the Behatted Serpent of Ronka
15460,silver dasher
15461,paissa patissier
15462,paissa threadpuller
15463,ancient one
15464,the Major-General
15465,wind-up Dulia-Chai
15466,amaro hatchling
15467,Laladile
15468,unlucky rabbit
15469,Lalinator 5.H0
15470,wind-up Mystel
15471,wind-up Ardbert
15472,magitek helldiver F1
15473,weatherproof gaelicat
15474,ephemeral necromancer
15475,Allagan melon
15476,sand fox
15477,petit pteranodon
15478,DÃ¡insleif F1
15479,Lord Enma
15480,Lord Ananta
15481,Zazel
15482,Damona
15483,2B automaton
15484,2P automaton
15485,much-coveted Mora
15486,Syldrion-class insubmersible
15487,wind-up Gaia
15488,wind-up Palom
15489,wind-up Porom
15490,wind-up Edge
15491,wind-up Rydia
15492,wind-up Rosa
15493,Save the Princess
15494,Drippy
15495,Trike
15496,golden beaver
15497,gull
15498,anteater
15499,dolphin calf
15500,magitek predator F1
15501,Senorita Sabotender
15502,Benben stone
15503,wanderer's campfire
15504,smaller stubby
15505,wind-up Lyna
15506,wind-up Runar
15507,wind-up Gunnhildr
15508,9S automaton
15509,wind-up Rudy
15510,squirrel emperor
15511,Flag
15512,wee Ea
15513,wind-up Magus Sisters
15514,optimus Omicron
15515,wind-up Anima
15516,starbird
15517,Nagxian cat
15518,brave new Urianger
15519,wind-up Vrtra
15520,hippo calf
15521,crabe de la crabe
15522,Prince Lunatender
15523,tiny troll
15524,Caduceus
15525,adventure basket
15526,Golden Dhyata
15527,greener gleaner
15528,wind-up Grebuloff
15529,nosferatu
15530,wind-up herois
15531,wind-up Daivadipa
15532,royal lunatender
15533,wind-up Arkasodara
15534,wind-up kangaroo
15535,protonaught
15536,teacup Kapikulu
15537,Chewy
15538,clockwork Novus D
15539,hatching bunny
15540,wind-up Azeyma
15541,wind-up Ragnarok
15542,blue-footed booby
15543,wind-up PuPu
15544,clockwork Solus
15545,felicitous fuzzball
15546,lumini
15547,clockwork crimson chaser
15548,clockwork cerulean chaser
15549,wind-up Scarmiglione
15550,Ryunosuke
15551,pterosquirrel
15552,sponge silkie
15553,sewer skink
15554,wind-up philos
15555,wind-up Erichthonios
16047,corgi
16048,sky blue back
16049,suzusaurus
16050,Mama automaton
16051,wind-up Cagnazzo
16052,Findingway
16053,private pachypodium
16054,wind-up Halone
16055,bantam train
16056,wind-up Godbert
16057,wind-up Aidoneus
16095,Kuromaru
16096,Shiromaru
16319,puffin
16320,mossasaurus
16321,okuri chochin
16322,posher otter
16323,Rubellite Weapon
16324,chimpanzee
16325,exciting dynamite
16326,mikra Lyssa
16327,Shiromaru
16328,wind-up Athena
16329,wind-up Barbariccia
16330,goggle-eyed dogu
16331,Kuromaru
16612,uolosapa
16613,the Great White Tsuchinoko
16614,Tourmaline Weapon
16615,wind-up Oschon
16616,Kydonia Strolls
16617,vicarious vacationer
16618,wind-up Golbez
16619,Torgal pup
16620,pink Bean
16621,Pegwin
16622,Hydaelyn idol
16623,Zodiark idol
16624,wind-up Fourchenault
16625,wind-up Zidane
16626,wind-up Garnet
16627,repulu
17714,Ilyikty'i
17716,Squeak the Coyote
17717,Rororrlo Teh
17725,Ambrose the Unfinished
17726,Black Kitten
19018,gimme kitten
20067,junior jinbei
20068,lite-loader
20069,caprino
20074,wind-up Prishe
20076,budvi
