BaseId,TerritoryTypeId,Observations
1822,156,1
1823,156,1
1824,156,1
1826,156,1
1827,156,2
1843,155,5
1845,137,1
1845,155,7
1846,155,6
1854,155,1
1917,155,1
1918,155,1
2091,155,1
2104,155,3
2107,137,3
2109,137,3
2109,139,1
2109,155,1
2129,145,1
2144,137,2
2146,138,1
2147,138,1
2148,139,1
2149,139,1
2150,139,3
2151,139,1
2160,155,2
2187,153,3
2188,146,9
2221,137,1
2237,154,5
2265,154,2
2266,154,7
2268,146,12
2452,146,11
2453,146,5
2457,146,9
2489,155,1
2490,155,3
2493,155,1
2494,155,1
2497,155,2
2506,146,1
2514,140,1
2614,139,1
2614,153,1
2615,139,1
2615,153,1
2616,139,1
2616,153,1
2617,146,1
2618,146,1
2619,146,1
2832,138,5
2835,138,2
2836,138,1
2837,137,1
2837,138,2
3063,155,1
3177,153,1
3178,154,2
3179,140,1
3180,141,1
3181,145,3
3183,147,1
3184,134,3
3185,135,2
3186,137,2
3187,138,3
3188,139,1
3190,155,1
3191,156,1
3194,153,2
3196,140,2
3199,146,1
3201,134,2
3208,156,1
3212,154,1
3219,135,7
3224,155,2
3225,156,1
3249,614,12
3660,137,1
3986,397,74
3988,397,27
3990,397,12
3991,397,28
3992,397,43
3993,397,41
3996,397,53
3997,397,14
3998,397,7
3999,398,13
3999,400,24
4000,398,27
4001,398,26
4002,398,26
4006,398,15
4007,398,36
4008,398,37
4009,398,36
4011,398,64
4012,398,19
4013,398,29
4014,402,11
4015,398,18
4015,400,14
4016,399,27
4017,399,35
4018,399,29
4019,399,9
4020,399,12
4021,399,15
4023,399,29
4024,399,20
4025,399,12
4026,399,12
4027,399,11
4028,399,20
4029,398,14
4029,399,16
4030,399,14
4031,399,13
4032,399,13
4033,399,18
4035,399,26
4036,400,11
4037,400,14
4038,400,83
4039,400,11
4040,402,11
4041,400,12
4042,400,33
4044,400,29
4045,400,16
4046,402,16
4048,401,15
4049,401,33
4050,401,35
4051,401,57
4052,401,53
4053,401,56
4054,401,17
4055,399,1
4057,399,2
4057,401,23
4058,401,54
4059,401,9
4060,401,7
4061,399,11
4063,401,20
4064,401,19
4066,401,11
4068,401,15
4069,401,26
4070,401,25
4071,402,14
4072,402,12
4075,402,7
4076,400,20
4078,400,18
4079,398,16
4080,402,9
4081,402,16
4083,402,8
4084,402,31
4085,402,8
4086,402,8
4087,402,10
4088,402,9
4089,402,32
4090,402,9
4091,402,7
4092,402,32
4093,402,9
4095,402,9
4141,402,6
4142,398,8
4166,398,65
4408,402,12
4454,397,18
4464,397,83
4465,398,13
4467,398,20
4468,398,4
4468,399,1
4468,400,13
4469,400,9
4470,400,46
4479,400,1
4523,401,13
4524,402,5
4527,397,3
4528,397,1
4529,398,1
4530,398,2
4531,399,1
4532,399,1
4533,400,2
4534,400,1
4535,401,1
4536,401,1
4537,402,1
4538,402,1
4539,397,1
4540,397,1
4541,398,1
4543,399,1
4546,400,1
4547,401,1
4548,401,1
4550,402,1
4554,400,1
4571,399,1
4581,399,1
4630,402,7
4631,400,24
4668,400,23
4668,402,12
4751,400,1
4752,400,1
4758,398,1
4759,400,1
4763,400,3
4765,400,1
4789,401,2
4790,398,2
4793,397,1
4794,398,1
4802,397,23
4803,397,42
4804,397,26
4805,397,19
4806,397,74
4807,397,8
4808,397,15
4809,397,17
4810,397,49
4811,401,34
4812,401,33
4813,401,56
4814,401,25
4815,401,12
4816,401,9
4820,399,1
4826,399,1
4830,399,1
4850,400,2
4854,399,1
4858,397,1
4861,397,2
4864,397,2
4873,401,1
4878,401,1
4879,401,1
4887,398,3
4889,398,1
4934,398,1
4947,398,1
4948,398,1
4949,398,1
4950,398,1
4952,400,3
4953,397,1
4954,397,2
4984,398,1
4989,398,1
4989,400,1
4990,398,1
4990,400,1
4991,398,1
4991,400,1
4992,398,1
4992,400,1
5012,402,1
5013,402,1
5014,402,1
5027,401,4
5054,400,1
5056,400,2
5098,146,44
5098,398,35
5098,402,88
5098,613,20
5098,621,17
5098,622,23
5098,1192,1
5099,140,57
5099,145,75
5099,147,58
5099,398,226
5099,399,134
5099,612,66
5099,620,9
5099,621,35
5100,155,226
5100,397,297
5102,397,42
5127,399,1
5550,398,1
6358,959,1
6358,961,2
6358,1192,20
6388,613,1
6388,816,1
6524,1192,1
6575,1192,1
6577,612,8
6578,612,10
6579,612,7
6581,614,7
6581,621,28
6582,612,11
6583,621,13
6584,620,8
6585,620,22
6588,621,35
6589,621,15
6590,612,31
6593,620,11
6595,612,7
6597,612,13
6598,613,1
6598,622,11
6599,621,8
6600,612,9
6602,620,8
6603,620,9
6605,620,8
6606,621,10
6607,621,11
6608,612,9
6609,620,6
6610,621,15
6612,135,34
6612,137,86
6612,153,40
6612,400,165
6612,401,225
6612,612,67
6612,613,27
6612,614,41
6612,620,24
6612,622,83
6613,134,18
6613,138,7
6613,139,42
6613,153,25
6613,398,45
6613,399,22
6613,401,22
6613,612,60
6613,613,84
6613,614,59
6613,622,37
6613,1192,1
6616,613,10
6618,613,10
6619,613,8
6620,613,11
6621,613,7
6621,614,9
6622,613,15
6624,614,11
6625,614,9
6626,622,22
6627,614,16
6629,622,9
6631,614,27
6632,622,16
6634,614,5
6635,614,4
6636,614,5
6637,613,7
6638,613,32
6639,622,13
6641,614,8
6641,622,15
6643,622,16
6644,622,19
6645,613,9
6646,613,9
6647,613,10
6648,613,13
6649,613,10
6649,622,20
6650,622,18
6651,621,13
6652,620,11
6653,620,9
6654,612,10
6655,612,10
6658,612,11
6661,621,9
6662,621,13
6664,612,13
6665,612,11
6666,620,8
6667,620,10
6669,621,19
6670,621,12
6671,621,13
6672,621,14
6673,621,10
6674,613,7
6675,613,9
6676,613,15
6676,614,1
6677,613,12
6677,622,10
6679,613,27
6679,614,24
6680,614,27
6681,613,2
6681,614,10
6682,614,10
6684,614,8
6685,614,2
6686,614,8
6687,622,9
6691,622,13
6692,622,16
6693,622,13
6706,621,19
6838,621,1
6851,613,1
6852,613,1
6853,614,1
6854,614,1
6855,622,1
6856,622,1
6857,612,1
6858,612,1
6859,620,1
6860,620,1
6861,621,1
6862,621,1
6982,1188,2
6982,1189,3
6982,1190,4
7010,399,1
7143,1188,1
7205,614,1
7245,816,1
7245,960,1
7245,1187,3
7245,1188,6
7245,1189,4
7245,1190,3
7245,1191,2
7245,1192,1
7349,612,4
7353,1192,1
7355,612,7
7364,612,1
7369,612,1
7375,956,1
7378,622,16
7379,613,8
7380,614,13
7406,1188,1
7435,612,61
7436,612,7
7437,612,21
7437,1188,1
7438,612,16
7439,612,13
7439,1188,1
7440,612,13
7441,612,22
7442,612,33
7443,612,4
7444,612,83
7445,620,8
7446,620,22
7447,620,10
7448,620,11
7449,620,11
7450,620,9
7488,613,1
7532,613,1
7586,959,1
7586,1187,1
7586,1188,3
7586,1189,8
7586,1190,4
7586,1191,6
7586,1192,2
7587,1191,1
7589,612,1
7590,613,1
7594,613,2
7595,613,1
7675,620,2
7684,620,1
7696,614,1
7750,622,1
7753,622,1
7762,622,1
7820,612,2
7967,621,1
7970,621,2
7974,621,1
8594,612,1
8785,613,1
8786,613,1
8899,613,5
8900,613,3
8901,613,8
8902,613,12
8903,613,12
8904,613,6
8905,613,11
8906,613,10
8907,613,10
8908,613,6
8909,613,2
8910,613,2
8911,613,7
8912,613,8
8913,613,10
8914,613,16
8915,613,15
8916,613,20
8917,613,5
8918,613,9
8919,613,10
8920,613,10
8921,613,4
8923,613,3
8924,613,10
9044,613,1
9045,613,1
9186,613,1
9187,613,1
10128,140,6
10129,134,7
10130,140,3
10131,146,5
10132,156,7
10133,147,3
10246,813,1
10246,816,57
10247,816,18
10248,813,1
10248,816,28
10249,816,5
10250,816,5
10251,813,1
10251,816,10
10252,816,9
10253,816,35
10254,813,1
10254,816,22
10255,816,23
10256,813,1
10256,816,15
10257,816,15
10258,813,3
10258,816,16
10259,813,3
10259,816,10
10260,816,22
10261,816,20
10262,816,24
10263,816,50
10264,816,37
10265,816,16
10266,813,1
10266,816,17
10267,813,3
10267,816,8
10269,816,37
10270,816,9
10271,816,1
10272,816,1
10273,816,1
10274,813,1
10274,817,14
10275,813,3
10275,817,14
10276,813,1
10276,817,11
10277,813,1
10277,817,11
10278,817,25
10279,817,12
10280,817,9
10281,817,19
10282,817,11
10283,813,1
10283,817,10
10284,817,16
10285,813,1
10285,817,15
10286,817,20
10287,817,19
10288,813,1
10288,817,16
10289,817,10
10290,817,13
10291,817,14
10292,817,25
10293,817,8
10294,817,16
10295,817,9
10296,817,2
10297,817,1
10298,817,1
10299,817,1
10300,817,1
10301,813,1
10301,818,18
10302,818,39
10303,818,6
10304,818,14
10305,818,24
10306,818,26
10307,818,28
10308,818,5
10309,818,38
10310,818,32
10311,818,38
10312,818,18
10313,818,28
10315,818,41
10316,818,3
10317,818,21
10318,818,24
10319,818,35
10320,818,41
10322,818,8
10325,818,4
10326,818,1
10327,813,1
10327,816,1
10328,815,20
10329,815,14
10331,815,26
10332,815,30
10332,959,1
10333,815,16
10334,815,10
10335,815,30
10336,815,64
10337,815,10
10338,815,15
10339,815,20
10340,815,19
10341,815,7
10342,815,22
10343,815,27
10344,815,31
10345,815,17
10346,815,22
10347,815,24
10348,815,18
10349,815,16
10350,815,38
10351,815,24
10352,815,10
10353,815,33
10354,815,8
10355,815,6
10356,815,1
10358,815,1
10359,815,3
10362,813,31
10363,813,27
10364,813,23
10365,813,28
10367,813,42
10368,813,15
10369,813,30
10370,813,14
10371,813,62
10372,813,110
10372,1188,1
10373,813,13
10374,813,45
10375,813,16
10376,813,27
10377,813,18
10378,813,16
10379,813,78
10380,813,33
10381,813,23
10382,813,3
10383,813,1
10384,813,1
10385,813,1
10386,813,2
10391,814,23
10392,814,44
10393,814,35
10394,814,20
10395,814,30
10396,814,17
10397,814,56
10398,814,104
10399,814,74
10400,814,32
10401,814,12
10402,814,52
10403,814,9
10404,814,10
10405,814,9
10406,814,17
10407,814,46
10408,814,17
10409,814,14
10410,814,15
10411,814,77
10412,814,38
10413,814,82
10414,814,38
10415,814,19
10416,814,54
10417,814,17
10418,814,1
10419,814,1
10420,814,1
10421,814,2
10422,814,1
10422,816,1
10422,818,3
10461,813,1
10465,813,1
10482,813,1
10487,1189,6
10488,1188,1
10488,1189,4
10488,1190,1
10489,135,1
10489,156,1
10489,400,1
10489,621,1
10489,813,3
10489,814,6
10489,815,7
10489,816,7
10489,817,3
10489,818,12
10489,957,4
10489,958,1
10489,959,1
10489,960,2
10489,961,2
10489,1187,11
10489,1188,33
10489,1189,34
10489,1190,64
10489,1191,32
10489,1192,42
10490,156,1
10490,813,2
10490,814,1
10490,815,5
10490,816,10
10490,817,1
10490,818,7
10490,957,3
10490,958,1
10490,960,3
10490,1187,7
10490,1188,24
10490,1189,36
10490,1190,51
10490,1191,17
10490,1192,31
10509,813,1
10511,813,1
10514,813,1
10598,1192,2
10618,813,1
10620,813,1
10620,956,1
10623,813,1
10625,818,4
10627,818,2
10630,813,3
10631,813,1
10631,818,2
10632,818,2
10634,814,5
10637,813,1
10653,1190,1
10655,1190,1
10656,813,1
10656,957,1
10656,1190,1
10661,959,2
10662,959,1
10723,817,1
10723,959,1
10735,818,23
10736,818,11
10755,814,1
10755,816,2
10755,818,2
10887,818,1
10898,814,1
10921,816,6
10928,813,1
10928,816,1
10932,818,3
10942,813,2
10944,813,5
10999,815,6
11000,815,3
11001,815,3
11003,818,3
11005,814,1
11005,1192,2
11009,814,3
11011,814,1
11014,813,2
11027,956,1
11058,817,1
11058,1188,1
11064,817,1
11064,957,1
11069,818,1
11069,959,1
11077,815,10
11078,815,2
11080,815,6
11084,815,2
11189,813,1
11189,817,1
11192,816,1
11193,813,1
11193,816,1
11194,816,1
11195,813,2
11195,816,2
11197,816,1
11201,816,2
11205,813,1
11205,816,1
11207,816,2
11224,813,1
11225,813,1
11230,815,1
11236,815,2
11251,815,24
11258,814,1
11408,813,1
11409,813,1
11515,400,9
11516,401,3
11557,901,1365
12419,901,296
12420,901,259
12421,901,135
12422,901,181
12423,901,88
12424,901,136
12425,901,365
12426,901,314
12427,901,214
12428,901,217
12667,139,2
12668,398,16
13314,960,12
13315,960,43
13316,960,16
13317,960,16
13317,1188,1
13318,960,4
13318,1188,1
13319,960,17
13319,1188,1
13321,960,17
13322,960,21
13322,1190,1
13323,960,33
13323,1190,1
13324,960,42
13324,1190,1
13325,960,35
13325,1190,1
13326,960,36
13327,960,26
13328,959,1
13328,960,13
13329,959,1
13329,960,12
13330,959,1
13330,960,21
13361,959,11
13361,1188,1
13361,1192,2
13362,959,22
13362,1188,1
13363,957,1
13363,959,21
13364,959,35
13364,1191,1
13365,959,21
13366,959,5
13367,959,14
13369,959,7
13370,959,31
13372,959,24
13373,959,14
13374,959,22
13375,959,8
13376,959,15
13378,959,12
13379,959,8
13380,959,7
13388,956,10
13389,956,8
13390,956,14
13391,956,26
13392,956,10
13393,956,30
13394,956,24
13395,956,13
13396,956,11
13397,956,17
13398,956,45
13399,956,26
13401,956,8
13402,956,45
13402,959,1
13403,956,20
13405,956,8
13410,956,8
13410,959,1
13411,956,8
13411,959,1
13412,956,8
13412,959,1
13413,956,7
13414,956,8
13414,959,1
13415,956,10
13416,956,8
13425,961,5
13426,961,11
13427,961,33
13429,961,27
13430,961,14
13431,961,17
13432,961,26
13433,961,11
13434,961,24
13435,961,12
13436,961,18
13437,961,12
13438,961,29
13439,961,37
13440,961,72
13441,961,15
13442,961,16
13443,961,44
13444,961,17
13445,961,94
13446,961,36
13447,961,39
13448,961,36
13449,961,43
13464,958,13
13465,958,26
13466,958,28
13467,958,17
13468,958,12
13469,958,36
13470,958,40
13471,958,16
13472,958,10
13473,958,23
13474,958,34
13474,959,1
13475,958,24
13477,958,19
13478,958,16
13479,958,26
13480,958,32
13481,958,10
13482,958,138
13483,958,29
13498,621,1
13498,813,3
13498,815,4
13498,816,7
13498,818,4
13498,957,11
13498,960,1
13498,1187,14
13498,1188,43
13498,1189,55
13498,1190,83
13498,1191,37
13498,1192,43
13499,134,1
13505,1188,1
13505,1189,5
13505,1190,1
13506,1188,1
13506,1189,5
13506,1190,2
13507,1188,2
13507,1189,5
13507,1190,1
13511,147,1
13515,960,2
13524,957,30
13526,399,1
13526,957,20
13526,959,2
13527,957,32
13528,957,58
13528,959,1
13529,957,28
13530,957,54
13530,959,2
13531,957,57
13532,957,13
13533,957,60
13533,1189,2
13534,957,13
13535,957,73
13536,957,49
13536,959,2
13537,957,13
13538,957,13
13539,957,16
13540,957,21
13541,957,37
13542,957,59
13542,959,2
13543,957,9
13543,959,1
13544,957,8
13546,959,3
13555,1190,1
13563,1190,1
13581,813,1
13606,147,1
13606,1192,6
13613,1192,2
13614,1192,1
13615,1192,1
13628,956,2
13635,956,1
13637,956,1
13668,960,16
13668,1188,1
13670,959,1
13677,957,4
13679,957,1
13679,959,1
13680,957,6
13682,957,12
13692,1188,1
13699,1188,1
13710,957,1
13716,155,1
13721,155,1
13728,134,14
13728,140,4
13728,155,6
13728,397,6
13728,398,6
13728,399,2
13728,612,7
13728,614,1
13728,621,5
13728,622,1
13728,814,8
13728,815,1
13728,818,22
13728,956,9
13728,957,26
13728,960,8
13728,1187,96
13728,1188,46
13728,1191,1
13728,1192,35
13749,813,1
13758,958,1
13759,957,2
13760,960,5
13761,960,3
13775,960,1
13788,961,1
13789,956,1
13790,956,1
13791,959,1
13819,959,1
13819,961,2
13820,957,3
13833,958,1
13847,957,1
13849,957,1
13851,961,2
13936,957,1
13937,958,2
13939,959,23
13940,959,26
13941,959,8
13948,958,20
13949,956,14
13950,956,15
13951,956,5
13951,959,1
13952,956,7
13953,956,17
13954,956,12
13961,813,2
13961,814,5
13961,815,2
13961,816,4
13961,817,2
13961,818,8
13961,957,2
13961,960,1
13961,1187,3
13961,1188,5
13961,1189,12
13961,1190,34
13961,1191,12
13961,1192,12
13964,956,1
13968,956,3
13969,956,2
13969,959,1
13971,957,3
13972,958,2
13972,959,1
13973,958,1
13975,959,1
13976,961,2
13977,961,2
13978,960,1
13979,960,3
13990,959,1
13996,1189,1
14042,957,1
14122,1188,1
14133,959,1
14143,961,1
14144,961,2
14146,958,2
14150,958,2
14151,958,2
14154,958,1
14162,956,2
14162,961,11
14163,961,14
14174,958,2
14189,960,1
14190,960,1
14194,960,1
14197,960,1
14198,960,2
14199,960,2
14200,960,2
14202,957,2
14206,958,1
14209,959,1
14218,959,2
14227,957,3
14231,957,10
14237,957,2
14244,956,1
14245,956,1
14246,956,1
14248,956,2
14250,956,1
14251,956,1
14252,956,1
14254,957,1
14256,957,1
14258,957,1
14259,957,1
14260,957,2
14261,957,2
14262,957,2
14264,958,2
14266,958,2
14268,958,1
14269,958,2
14270,958,2
14271,958,2
14272,958,3
14273,958,1
14284,960,4
14286,960,5
14288,960,2
14289,960,4
14290,960,4
14291,960,6
14292,960,4
14293,960,2
14304,957,1
14304,958,8
14307,957,2
14310,957,14
14313,956,1
14318,956,2
14319,956,2
14326,956,2
14337,960,3
14381,959,2
14382,956,1
14382,959,1
14384,959,2
14385,959,2
14392,961,1
14398,960,2
14473,957,1
14678,957,1
14679,957,2
14702,137,12
14702,1190,2
16348,815,1
16349,815,4
16737,1190,1
16749,1191,15
16750,1190,1
16750,1191,10
16751,1191,14
16762,1190,1
16863,1190,47
16871,1190,1
16892,1189,16
16902,1189,1
16905,1189,1
16926,1189,2
16936,1189,1
16937,1189,1
16946,1189,14
16947,1189,15
16964,959,1
16990,1190,46
17004,1187,4
17006,1187,4
17009,1187,7
17011,1187,6
17014,1187,15
17015,1187,8
17016,1187,21
17018,1187,3
17019,1187,9
17020,1187,7
17021,1187,30
17022,1187,21
17023,1187,6
17024,1187,9
17025,1187,3
17026,1187,1
17027,1187,1
17028,1187,1
17029,1187,7
17029,1190,1
17030,1187,11
17031,1187,2
17033,1187,4
17056,956,1
17056,1192,1
17087,1188,1
17087,1191,2
17103,1190,2
17104,1189,1
17104,1190,1
17104,1192,1
17105,1190,1
17105,1192,1
17106,1190,1
17106,1192,2
17108,1190,1
17108,1192,2
17109,1190,2
17109,1192,1
17115,1191,1
17116,1191,1
17117,1191,1
17118,1191,1
17120,1188,1
17123,1187,1
17124,1187,1
17131,1188,1
17131,1192,2
17132,1188,1
17132,1191,1
17132,1192,2
17134,1188,1
17134,1192,2
17136,1188,1
17136,1191,2
17136,1192,2
17137,1188,1
17140,1189,1
17140,1192,1
17142,1189,1
17142,1192,2
17163,1190,1
17165,1190,1
17165,1192,1
17189,1190,1
17192,1190,1
17197,1189,8
17198,1189,7
17199,1189,6
17200,1189,11
17201,1189,5
17202,1189,40
17203,1189,6
17204,1189,4
17205,1192,13
17206,1192,29
17227,1188,68
17228,1188,146
17229,1188,77
17230,1188,115
17231,1188,69
17232,1188,77
17233,1188,134
17234,1188,189
17235,1188,103
17236,1188,154
17237,1188,36
17238,1188,62
17239,1188,91
17240,1188,81
17241,1188,78
17242,1188,36
17243,1188,149
17244,1188,109
17245,1188,19
17246,1188,44
17247,1188,162
17248,1188,212
17249,1188,201
17250,1189,419
17251,1189,154
17252,1189,253
17253,1189,197
17254,1189,125
17255,1189,117
17256,1189,35
17257,1189,118
17258,1189,61
17259,1189,137
17259,1190,1
17260,1189,102
17261,1189,116
17262,1189,90
17263,1189,119
17264,1189,107
17265,1189,186
17266,1189,82
17267,1189,57
17268,1189,82
17269,1190,507
17270,1190,1506
17271,1190,101
17272,1189,1
17272,1190,356
17273,1190,584
17274,1190,109
17275,1189,1
17275,1190,193
17276,1190,346
17277,1190,545
17278,1190,53
17279,1190,298
17280,1190,137
17281,1189,1
17281,1190,222
17282,1190,328
17283,1190,720
17284,1189,1
17284,1190,118
17286,1190,145
17287,1190,249
17288,1190,108
17289,1189,1
17289,1190,57
17296,1189,2
17296,1192,1
17297,1189,5
17297,1192,1
17298,1189,3
17299,1189,2
17300,1189,1
17301,1192,14
17302,1192,13
17303,1192,13
17304,1188,2
17304,1189,5
17304,1190,1
17305,1189,4
17306,1189,4
17307,1189,4
17307,1190,1
17308,1189,3
17309,1189,3
17310,1188,3
17310,1189,3
17310,1190,1
17311,1189,2
17311,1190,1
17311,1192,2
17313,1189,21
17313,1192,2
17329,1190,1
17335,1190,1
17336,1190,1
17350,1189,2
17361,1190,1
17362,1190,1
17371,1190,18
17372,1190,14
17373,1189,1
17373,1190,17
17375,1189,1
17375,1191,11
17388,1192,26
17395,813,1
17395,816,1
17395,957,4
17395,961,1
17395,1187,5
17395,1189,1
17395,1191,3
17395,1192,10
17396,1190,2
17396,1192,7
17415,1188,10
17416,1188,6
17416,1189,2
17417,1188,1
17418,1188,2
17418,1190,2
17419,1188,4
17420,1188,6
17421,1188,20
17422,1188,4
17422,1190,1
17423,1188,4
17424,1188,11
17425,1188,4
17426,1188,6
17427,1188,5
17433,1188,2
17434,1188,7
17435,1188,5
17436,1188,7
17438,1188,2
17438,1190,1
17440,1188,3
17445,1192,13
17446,1192,8
17447,1192,8
17449,1192,4
17450,1192,3
17451,1192,1
17452,1192,5
17453,1192,3
17454,1192,1
17455,1192,2
17456,1192,1
17457,1192,5
17458,1192,17
17465,1187,212
17466,1187,108
17467,1187,192
17468,1187,172
17469,1187,78
17470,1187,31
17471,1187,136
17471,1192,1
17472,1187,57
17473,1187,69
17474,1187,108
17475,1187,94
17476,1187,79
17477,1187,67
17478,1187,135
17479,1187,247
17479,1188,1
17480,1187,210
17480,1188,1
17481,1187,75
17481,1188,1
17482,1187,121
17482,1188,1
17483,1187,222
17484,1187,170
17485,1191,96
17486,1191,99
17487,1191,38
17488,1191,135
17489,1191,96
17490,1189,1
17490,1190,1
17490,1191,175
17491,1189,1
17491,1190,2
17491,1191,150
17492,1191,263
17493,1191,191
17494,1191,50
17495,1191,128
17496,1191,82
17497,1191,86
17498,1191,55
17499,1191,92
17500,1191,113
17501,1191,113
17502,1192,640
17503,1192,205
17504,1192,56
17505,1192,167
17506,1192,38
17507,1192,32
17508,1188,1
17508,1189,1
17508,1192,22
17509,1189,2
17509,1192,29
17510,1189,1
17510,1192,68
17511,1188,1
17511,1192,91
17512,1188,1
17512,1192,312
17513,1192,28
17514,1192,263
17515,1192,96
17516,1188,1
17516,1192,24
17517,1192,52
17518,1187,1
17518,1192,547
